3738 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'LCDM_cool_star', '64', '.5', 'match_LCDM_vanilla_LCDM_cool_star_SN']
LCDM_vanilla	LCDM_cool_star
0	0
1	1
2	2
3	3
4	5
5	7
6	6
7	21
8	10
9	11
10	21
11	13
12	8
13	14
14	12
15	16
16	15
17	17
18	20
19	18
20	19
21	24
22	29
23	32
24	23
25	28
26	22
27	26
28	30
29	40
30	33
31	27
32	41
33	35
34	37
35	39
36	36
37	34
38	None
39	44
40	47
41	25
42	43
43	31
44	49
45	50
46	45
47	55
48	42
49	48
50	52
51	46
52	59
53	56
54	76
55	61
56	53
57	54
58	51
59	57
60	66
61	70
62	67
63	127
64	62
65	58
66	73
67	81
68	79
69	68
70	75
71	72
72	63
73	74
74	82
75	88
76	65
77	71
78	90
79	64
80	69
81	78
82	98
83	60
84	87
85	101
86	134
87	108
88	77
89	94
90	105
91	179
92	86
93	117
94	100
95	96
96	104
97	97
98	110
99	95
100	120
101	106
102	93
103	92
104	130
105	83
106	103
107	80
108	125
109	133
110	147
111	149
112	124
113	166
114	99
115	129
116	155
117	102
118	143
119	118
120	137
121	318
122	84
123	132
124	146
125	167
126	139
127	131
128	85
129	151
130	183
131	174
132	144
133	178
134	182
135	158
136	116
137	163
138	121
139	187
140	119
141	140
142	161
143	122
144	145
145	173
146	176
147	171
148	148
149	197
150	415
151	141
152	168
153	177
154	205
155	115
156	222
157	157
158	175
159	203
160	184
161	170
162	200
163	196
164	107
165	159
166	113
167	232
168	164
169	153
170	214
171	172
172	128
173	165
174	663
175	114
176	192
177	109
178	189
179	162
180	263
181	285
182	257
183	352
184	201
185	298
186	230
187	206
188	249
189	213
190	194
191	207
192	190
193	343
194	150
195	265
196	217
197	169
198	245
199	452
200	204
201	220
202	208
203	198
204	123
205	223
206	295
207	202
208	216
209	226
210	244
211	241
212	252
213	290
214	338
215	152
216	262
217	267
218	288
219	195
220	280
221	403
222	384
223	311
224	126
225	246
226	307
227	620
228	215
229	242
230	323
231	142
232	315
233	218
234	330
235	322
236	186
237	209
238	191
239	227
240	385
241	188
242	136
243	326
244	316
245	281
246	313
247	286
248	320
249	193
250	301
251	277
252	349
253	221
254	224
255	229
256	234
257	419
258	482
259	154
260	337
261	251
262	344
263	284
264	394
265	317
266	348
267	521
268	332
269	180
270	465
271	427
272	342
273	254
274	260
275	283
276	364
277	300
278	275
279	210
280	238
281	304
282	135
283	268
284	331
285	460
286	310
287	236
288	279
289	357
290	396
291	302
292	278
293	294
294	420
295	235
296	261
297	405
298	269
299	381
300	486
301	211
302	457
303	255
304	305
305	476
306	474
307	477
308	287
309	418
310	156
311	253
312	432
313	410
314	293
315	327
316	273
317	412
318	511
319	409
320	498
321	446
322	527
323	366
324	377
325	335
326	471
327	493
328	367
329	784
330	231
331	1123
332	308
333	390
334	292
335	462
336	360
337	None
338	248
339	350
340	289
341	386
342	454
343	282
344	438
345	522
346	404
347	259
348	483
349	378
350	309
351	297
352	503
353	314
354	271
355	402
356	414
357	445
358	324
359	328
360	160
361	400
362	401
363	243
364	237
365	415
366	469
367	548
368	873
369	None
370	595
371	199
372	500
373	361
374	382
375	499
376	586
377	373
378	303
379	554
380	369
381	564
382	358
383	380
384	336
385	264
386	525
387	270
388	472
389	228
390	589
391	372
392	585
393	506
394	579
395	566
396	651
397	604
398	333
399	660
400	387
401	467
402	341
403	296
404	379
405	354
406	691
407	760
408	407
409	590
410	644
411	351
412	587
413	833
414	383
415	321
416	276
417	370
418	491
419	291
420	516
421	431
422	633
423	723
424	655
425	441
426	461
427	505
428	None
429	429
430	433
431	473
432	733
433	778
434	757
435	649
436	464
437	406
438	810
439	359
440	299
441	718
442	334
443	411
444	666
445	436
446	805
447	389
448	688
449	399
450	325
451	393
452	434
453	233
454	451
455	705
456	689
457	347
458	423
459	920
460	605
461	667
462	442
463	455
464	1118
465	397
466	363
467	256
468	470
469	700
470	558
471	306
472	509
473	853
474	699
475	592
476	704
477	539
478	355
479	447
480	562
481	1014
482	376
483	340
484	388
485	475
486	439
487	552
488	598
489	512
490	504
491	721
492	827
493	416
494	1285
495	855
496	596
497	408
498	212
499	426
500	951
501	None
502	1015
503	421
504	395
505	459
506	413
507	549
508	526
509	468
510	440
511	637
512	466
513	274
514	450
515	584
516	356
517	346
518	639
519	453
520	544
521	581
522	1197
523	752
524	None
525	375
526	339
527	593
528	622
529	624
530	514
531	657
532	580
533	None
534	611
535	631
536	490
537	574
538	661
539	553
540	725
541	None
542	576
543	517
544	1090
545	374
546	671
547	2797
548	None
549	444
550	897
551	543
552	480
553	613
554	430
555	614
556	319
557	487
558	510
559	551
560	456
561	563
562	617
563	818
564	546
565	560
566	672
567	751
568	1045
569	523
570	492
571	458
572	519
573	650
574	571
575	437
576	443
577	530
578	537
579	507
580	635
581	495
582	513
583	448
584	602
585	892
586	542
587	626
588	555
589	779
590	561
591	1250
592	735
593	258
594	656
595	597
596	715
597	502
598	488
599	None
600	701
601	804
602	673
603	706
604	685
605	680
606	594
607	449
608	1136
609	684
610	648
611	716
612	545
613	726
614	709
615	711
616	600
617	1691
618	646
619	615
620	583
621	638
622	424
623	365
624	None
625	742
626	606
627	653
628	532
629	570
630	494
631	481
632	840
633	748
634	786
635	812
636	547
637	768
638	710
639	636
640	727
641	675
642	None
643	630
644	753
645	645
646	652
647	533
648	767
649	744
650	582
651	508
652	846
653	720
654	616
655	640
656	1065
657	538
658	567
659	750
660	719
661	761
662	659
663	577
664	788
665	609
666	654
667	540
668	764
669	736
670	832
671	901
672	None
673	745
674	669
675	770
676	572
677	879
678	802
679	550
680	894
681	782
682	696
683	732
684	565
685	737
686	599
687	641
688	678
689	693
690	914
691	787
692	588
693	620
694	679
695	665
696	619
697	559
698	601
699	1271
700	677
701	686
702	612
703	775
704	777
705	None
706	623
707	1778
708	747
709	982
710	1013
711	776
712	627
713	834
714	536
715	820
716	789
717	647
718	882
719	707
720	837
721	642
722	724
723	422
724	900
725	682
726	658
727	607
728	758
729	826
730	815
731	435
732	755
733	694
734	898
735	772
736	771
737	919
738	907
739	774
740	910
741	463
742	838
743	714
744	662
745	848
746	4423
747	870
748	628
749	746
750	1256
751	556
752	864
753	861
754	610
755	749
756	916
757	912
758	835
759	917
760	831
761	674
762	1124
763	618
764	842
765	668
766	670
767	765
768	928
769	781
770	3012
771	793
772	868
773	703
774	859
775	850
776	785
777	809
778	535
779	1121
780	895
781	867
782	935
783	1086
784	1131
785	769
786	866
787	687
788	796
789	906
790	1195
791	625
792	780
793	1233
794	531
795	1012
796	763
797	None
798	817
799	840
800	851
801	975
802	541
803	1029
804	932
805	1082
806	952
807	702
808	909
809	964
810	2255
811	501
812	1150
813	578
814	1039
815	876
816	739
817	1009
818	643
819	884
820	973
821	957
822	856
823	803
824	629
825	823
826	698
827	931
828	766
829	791
830	1382
831	960
832	773
833	1031
834	969
835	1462
836	1257
837	933
838	929
839	729
840	1083
841	1064
842	3067
843	722
844	938
845	1199
846	2208
847	1427
848	1043
849	956
850	None
851	819
852	811
853	1041
854	1151
855	958
856	1018
857	865
858	913
859	961
860	1092
861	963
862	965
863	871
864	1188
865	1342
866	880
867	965
868	889
869	None
870	896
871	520
872	976
873	993
874	822
875	926
876	852
877	836
878	825
879	890
880	828
881	886
882	945
883	1510
884	924
885	1299
886	988
887	943
888	None
889	983
890	862
891	1112
892	954
893	874
894	1002
895	860
896	None
897	1085
898	959
899	1149
900	981
901	849
902	970
903	872
904	1061
905	903
906	None
907	814
908	941
909	1008
910	1057
911	795
912	1148
913	799
914	877
915	1351
916	1505
917	1368
918	1005
919	922
920	None
921	1191
922	1056
923	1255
924	None
925	731
926	1001
927	798
928	None
929	1316
930	1095
931	1075
932	1027
933	824
934	854
935	1010
936	790
937	946
938	1472
939	1310
940	None
941	1219
942	1084
943	1312
944	1378
945	949
946	991
947	939
948	977
949	990
950	1248
951	1166
952	575
953	1215
954	1185
955	1066
956	1152
957	968
958	792
959	2459
960	847
961	3340
962	1067
963	1094
964	1135
965	918
966	1102
967	1245
968	858
969	1004
970	1107
971	1144
972	3646
973	1350
974	1155
975	1261
976	940
977	1176
978	955
979	None
980	1162
981	740
982	925
983	923
984	None
985	743
986	1028
987	908
988	1198
989	1047
990	1138
991	756
992	944
993	None
994	800
995	1033
996	3166
997	518
998	1023
999	1076
1000	1336
1001	1354
1002	980
1003	1127
1004	1538
1005	936
1006	1006
1007	1115
1008	None
1009	1373
1010	1122
1011	992
1012	1377
1013	801
1014	942
1015	1146
1016	1173
1017	1145
