2582 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star']
LCDM_vanilla	SymA_cool_star
0	0
1	1
2	2
3	3
4	5
5	7
6	6
7	21
8	8
9	11
10	None
11	13
12	10
13	12
14	14
15	17
16	16
17	15
18	19
19	18
20	20
21	24
22	25
23	29
24	23
25	27
26	22
27	28
28	32
29	39
30	31
31	30
32	35
33	33
34	38
35	36
36	40
37	37
38	None
39	44
40	49
41	26
42	42
43	34
44	43
45	52
46	45
47	55
48	47
49	48
50	54
51	50
52	64
53	59
54	53
55	41
56	51
57	60
58	61
59	62
60	71
61	77
62	70
63	141
64	65
65	92
66	72
67	83
68	87
69	84
70	81
71	68
72	63
73	76
74	88
75	82
76	69
77	67
78	100
79	57
80	66
81	95
82	103
83	58
84	102
85	96
86	90
87	110
88	73
89	89
90	120
91	97
92	80
93	112
94	56
95	79
96	113
97	91
98	116
99	105
100	94
101	109
102	75
103	78
104	128
105	98
106	101
107	86
108	121
109	133
110	137
111	144
112	99
113	150
114	106
115	119
116	164
117	124
118	134
119	126
120	139
121	294
122	None
123	129
124	140
125	201
126	127
127	145
128	85
129	153
130	169
131	182
132	118
133	170
134	173
135	138
136	152
137	192
138	130
139	176
140	114
141	166
142	168
143	122
144	146
145	179
146	174
147	186
148	222
149	189
150	411
151	181
152	171
153	224
154	209
155	117
156	199
157	158
158	148
159	221
160	188
161	190
162	193
163	219
164	108
165	175
166	123
167	243
168	195
169	177
170	213
171	184
172	149
173	187
174	232
175	136
176	161
177	111
178	216
179	167
180	252
181	287
182	284
183	302
184	180
185	434
186	239
187	218
188	131
189	157
190	264
191	212
192	160
193	331
194	156
195	305
196	233
197	194
198	241
199	442
200	230
201	235
202	229
203	196
204	163
205	226
206	308
207	178
208	227
209	271
210	276
211	285
212	210
213	898
214	328
215	265
216	313
217	240
218	293
219	191
220	266
221	391
222	350
223	263
224	159
225	297
226	333
227	709
228	142
229	342
230	383
231	208
232	299
233	272
234	338
235	360
236	1139
237	258
238	211
239	282
240	426
241	256
242	237
243	316
244	428
245	321
246	356
247	400
248	343
249	261
250	314
251	887
252	322
253	292
254	277
255	254
256	280
257	452
258	346
259	236
260	288
261	323
262	423
263	245
264	368
265	279
266	None
267	520
268	None
269	None
270	566
271	451
272	355
273	281
274	220
275	289
276	344
277	315
278	None
279	249
280	367
281	290
282	None
283	340
284	354
285	497
286	379
287	None
288	260
289	416
290	429
291	317
292	319
293	291
294	587
295	286
296	298
297	421
298	325
299	None
300	510
301	274
302	498
303	203
304	295
305	588
306	None
307	649
308	268
309	438
310	238
311	334
312	388
313	430
314	467
315	394
316	1801
317	366
318	478
319	408
320	401
321	453
322	579
323	318
324	402
325	524
326	439
327	436
328	450
329	727
330	306
331	None
332	393
333	345
334	307
335	532
336	730
337	None
338	None
339	357
340	273
341	370
342	449
343	347
344	475
345	465
346	556
347	None
348	541
349	378
350	311
351	247
352	619
353	427
354	320
355	518
356	255
357	463
358	930
359	353
360	165
361	283
362	339
363	253
364	223
365	411
366	466
367	523
368	909
369	1230
370	1126
371	372
372	607
373	488
374	472
375	None
376	782
377	332
378	348
379	596
380	None
381	483
382	None
383	493
384	422
385	296
386	470
387	364
388	624
389	257
390	820
391	410
392	546
393	595
394	580
395	1010
396	650
397	558
398	381
399	633
400	458
401	485
402	None
403	380
404	397
405	404
406	560
407	None
408	403
409	None
410	None
411	412
412	721
413	905
414	582
415	359
416	930
417	361
418	462
419	300
420	None
421	464
422	758
423	None
424	884
425	555
426	365
427	514
428	None
429	None
430	521
431	440
432	None
433	1368
434	753
435	734
436	None
437	398
438	875
439	None
440	496
441	None
442	373
443	525
444	None
445	407
446	793
447	435
448	None
449	495
450	454
451	418
452	None
453	406
454	417
455	740
456	None
457	377
458	484
459	916
460	605
461	583
462	414
463	425
464	842
465	459
466	494
467	206
468	437
469	729
470	825
471	567
472	589
473	None
474	None
475	471
476	399
477	481
478	None
479	491
480	593
481	1051
482	None
483	234
484	819
485	443
486	512
487	606
488	None
489	551
490	432
491	823
492	991
493	431
494	1305
495	None
496	None
497	405
498	None
499	395
500	None
501	None
502	845
503	None
504	446
505	535
506	476
507	564
508	None
509	None
510	None
511	548
512	636
513	382
514	None
515	568
516	None
517	413
518	764
519	None
520	468
521	None
522	None
523	None
524	None
525	513
526	None
527	None
528	None
529	None
530	569
531	460
532	1126
533	None
534	665
535	1582
536	None
537	None
538	617
539	637
540	661
541	2546
542	None
543	None
544	1583
545	None
546	620
547	2759
548	None
549	384
550	848
551	None
552	None
553	554
554	None
555	530
556	575
557	None
558	None
559	515
560	None
561	None
562	665
563	701
564	None
565	None
566	613
567	765
568	980
569	None
570	965
571	455
572	None
573	718
574	685
575	456
576	659
577	522
578	705
579	609
580	697
581	None
582	627
583	811
584	641
585	1073
586	629
587	677
588	None
589	663
590	623
591	3036
592	None
593	None
594	None
595	670
596	800
597	578
598	None
599	None
600	662
601	991
602	778
603	None
604	None
605	None
606	573
607	597
608	None
609	598
610	626
611	668
612	None
613	594
614	591
615	618
616	None
617	2491
618	698
619	None
620	None
621	654
622	735
623	656
624	None
625	767
626	540
627	785
628	None
629	1337
630	None
631	457
632	3161
633	None
634	841
635	None
636	None
637	None
638	850
639	707
640	1121
641	None
642	None
643	1183
644	694
645	610
646	599
647	None
648	None
649	678
650	688
651	None
652	1075
653	781
654	None
655	None
656	3072
657	543
658	655
659	None
660	None
661	604
662	574
663	675
664	1200
665	None
666	673
667	None
668	None
669	None
670	666
671	861
672	3750
673	562
674	803
675	None
676	None
677	822
678	722
679	None
680	997
681	762
682	733
683	1242
684	741
685	703
686	None
687	622
688	None
689	794
690	None
691	801
692	585
693	709
694	571
695	None
696	976
697	1267
698	None
699	1049
700	None
701	None
702	1555
703	None
704	None
705	None
706	None
707	3183
708	None
709	None
710	924
711	1508
712	601
713	779
714	None
715	545
716	None
717	766
718	None
719	715
720	None
721	None
722	None
723	None
724	962
725	833
726	None
727	772
728	None
729	890
730	None
731	590
732	None
733	716
734	869
735	832
736	None
737	1626
738	739
739	None
740	None
741	592
742	None
743	None
744	1354
745	864
746	4587
747	859
748	None
749	952
750	1458
751	None
752	2418
753	None
754	None
755	None
756	1421
757	1001
758	770
759	1243
760	914
761	1054
762	None
763	None
764	3588
765	704
766	1179
767	None
768	None
769	1263
770	3254
771	None
772	1124
773	None
774	1407
775	1796
776	616
777	None
778	581
779	None
780	None
781	None
782	None
783	1286
784	2036
785	836
786	1081
787	815
788	855
789	None
790	1169
791	None
792	834
793	None
794	712
795	None
796	769
797	None
798	None
799	1032
800	None
801	None
802	724
803	1125
804	None
805	986
806	991
807	None
808	None
809	995
810	None
811	2093
812	None
813	1592
814	1196
815	None
816	776
817	None
818	None
819	1122
820	1070
821	None
822	2202
823	None
824	807
825	None
826	763
827	None
828	838
829	754
830	1331
831	None
832	None
833	None
834	874
835	None
836	1033
837	None
838	1077
839	1181
840	1128
841	2619
842	None
843	981
844	979
845	1224
846	2973
847	3511
848	None
849	None
850	None
851	None
852	None
853	1004
854	3731
855	934
856	922
857	731
858	None
859	None
860	1072
861	None
862	None
863	3395
864	None
865	1057
866	None
867	1002
868	None
869	None
870	984
871	586
872	None
873	896
874	None
875	None
876	None
877	1827
878	None
879	None
880	1946
881	1182
882	1383
883	None
884	906
885	1189
886	1230
887	1008
888	None
889	3320
890	None
891	1787
892	None
893	None
894	1183
895	None
896	None
897	None
898	1034
899	None
900	None
901	728
902	1021
903	None
904	None
905	None
906	None
907	1222
908	2124
909	None
910	3559
911	None
912	None
913	None
914	None
915	3529
916	1570
917	1519
918	1596
919	1155
920	None
921	None
922	None
923	1575
924	2382
925	None
926	1087
927	1079
928	3746
929	None
930	1076
931	1225
932	None
933	894
934	None
935	1661
936	3398
937	None
938	2321
939	None
940	None
941	3383
942	1166
943	2201
944	3222
945	None
946	1331
947	None
948	2093
949	None
950	None
951	1611
952	None
953	1364
954	None
955	None
956	1352
957	1014
958	1416
959	1147
960	1285
961	3361
962	1044
963	1240
964	None
965	None
966	None
967	None
968	None
969	1045
970	2280
971	2112
972	3742
973	None
974	1063
975	None
976	None
977	1113
978	None
979	None
980	None
981	None
982	1747
983	None
984	2574
985	None
986	None
987	1061
988	None
989	1007
990	None
991	None
992	2370
993	None
994	2309
995	None
996	3629
997	None
998	None
999	1680
1000	None
1001	1771
1002	989
1003	2147
1004	None
1005	1149
1006	2972
1007	1123
1008	2419
1009	1642
1010	None
1011	None
1012	1179
1013	None
1014	1018
