2991 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymB_cool_star', '64', '.5', 'match_LCDM_vanilla_SymB_cool_star']
LCDM_vanilla	SymB_cool_star
0	0
1	1
2	2
3	3
4	5
5	8
6	7
7	6
8	None
9	12
10	11
11	10
12	9
13	13
14	25
15	15
16	19
17	20
18	21
19	None
20	55
21	17
22	23
23	28
24	31
25	22
26	18
27	24
28	None
29	27
30	32
31	47
32	29
33	35
34	30
35	None
36	33
37	38
38	None
39	45
40	40
41	53
42	34
43	64
44	57
45	50
46	44
47	52
48	46
49	49
50	39
51	51
52	136
53	48
54	42
55	80
56	None
57	37
58	54
59	77
60	70
61	43
62	62
63	144
64	63
65	59
66	58
67	81
68	95
69	247
70	89
71	84
72	88
73	82
74	79
75	86
76	104
77	66
78	96
79	108
80	67
81	101
82	None
83	87
84	172
85	133
86	121
87	109
88	68
89	123
90	241
91	241
92	91
93	116
94	178
95	100
96	76
97	93
98	74
99	119
100	150
101	137
102	97
103	72
104	122
105	75
106	126
107	106
108	125
109	118
110	135
111	None
112	99
113	None
114	117
115	535
116	160
117	98
118	None
119	None
120	132
121	242
122	69
123	158
124	128
125	535
126	177
127	134
128	None
129	129
130	141
131	162
132	None
133	163
134	165
135	140
136	153
137	195
138	139
139	None
140	102
141	184
142	157
143	115
144	168
145	None
146	None
147	173
148	433
149	183
150	460
151	None
152	None
153	213
154	127
155	124
156	169
157	186
158	None
159	193
160	181
161	226
162	None
163	171
164	156
165	149
166	206
167	214
168	159
169	185
170	202
171	146
172	180
173	None
174	234
175	154
176	303
177	143
178	224
179	191
180	231
181	265
182	483
183	277
184	209
185	233
186	189
187	227
188	398
189	164
190	None
191	210
192	483
193	404
194	232
195	755
196	199
197	204
198	297
199	200
200	216
201	208
202	190
203	147
204	215
205	196
206	264
207	244
208	236
209	None
210	388
211	282
212	245
213	623
214	286
215	238
216	None
217	254
218	None
219	229
220	255
221	372
222	None
223	None
224	313
225	259
226	275
227	None
228	None
229	246
230	None
231	None
232	253
233	338
234	274
235	281
236	None
237	266
238	237
239	309
240	364
241	279
242	294
243	337
244	329
245	222
246	280
247	286
248	308
249	1717
250	257
251	1083
252	336
253	263
254	374
255	268
256	None
257	None
258	None
259	343
260	182
261	None
262	358
263	None
264	362
265	322
266	460
267	411
268	None
269	None
270	848
271	None
272	276
273	879
274	287
275	251
276	317
277	261
278	None
279	330
280	332
281	272
282	None
283	433
284	718
285	480
286	None
287	None
288	249
289	380
290	None
291	371
292	320
293	391
294	1270
295	None
296	580
297	430
298	None
299	None
300	472
301	484
302	None
303	291
304	None
305	429
306	None
307	635
308	340
309	401
310	346
311	333
312	448
313	424
314	468
315	414
316	None
317	350
318	423
319	426
320	None
321	382
322	904
323	355
324	1287
325	521
326	475
327	407
328	None
329	None
330	285
331	None
332	None
333	None
334	310
335	924
336	554
337	None
338	None
339	323
340	289
341	410
342	1406
343	331
344	451
345	None
346	342
347	None
348	None
349	408
350	353
351	306
352	370
353	399
354	334
355	None
356	335
357	397
358	None
359	360
360	477
361	None
362	None
363	311
364	324
365	460
366	None
367	539
368	None
369	None
370	1507
371	452
372	478
373	471
374	395
375	None
376	None
377	376
378	808
379	None
380	None
381	None
382	None
383	None
384	None
385	497
386	None
387	269
388	943
389	446
390	977
391	394
392	None
393	1548
394	None
395	1230
396	1122
397	524
398	348
399	501
400	400
401	None
402	None
403	300
404	409
405	None
406	1080
407	713
408	432
409	None
410	587
411	None
412	None
413	802
414	None
415	392
416	651
417	345
418	470
419	661
420	None
421	474
422	607
423	None
424	1637
425	421
426	378
427	None
428	None
429	526
430	548
431	463
432	1439
433	None
434	617
435	667
436	530
437	None
438	None
439	None
440	571
441	1066
442	None
443	450
444	None
445	434
446	None
447	352
448	None
449	439
450	390
451	456
452	None
453	354
454	441
455	492
456	None
457	288
458	403
459	800
460	639
461	643
462	435
463	543
464	561
465	None
466	304
467	347
468	820
469	615
470	813
471	None
472	None
473	557
474	None
475	568
476	None
477	444
478	579
479	366
480	1068
481	881
482	None
483	525
484	None
485	487
486	631
487	636
488	None
489	None
490	None
491	None
492	711
493	476
494	984
495	1068
496	934
497	1422
498	469
499	None
500	930
501	None
502	None
503	None
504	440
505	420
506	718
507	503
508	562
509	None
510	924
511	None
512	584
513	495
514	None
515	516
516	None
517	None
518	612
519	None
520	510
521	None
522	None
523	None
524	631
525	795
526	672
527	None
528	628
529	None
530	897
531	880
532	1507
533	None
534	1556
535	None
536	None
537	None
538	504
539	None
540	None
541	None
542	None
543	None
544	1383
545	801
546	624
547	None
548	1573
549	721
550	669
551	None
552	722
553	534
554	532
555	1406
556	528
557	None
558	642
559	533
560	None
561	None
562	1556
563	511
564	None
565	662
566	583
567	717
568	2110
569	None
570	1119
571	570
572	None
573	608
574	557
575	774
576	None
577	None
578	588
579	None
580	1186
581	546
582	None
583	694
584	590
585	724
586	520
587	1492
588	None
589	None
590	614
591	None
592	838
593	553
594	None
595	523
596	627
597	630
598	None
599	702
600	563
601	892
602	706
603	2949
604	None
605	733
606	None
607	529
608	1153
609	None
610	517
611	594
612	735
613	574
614	None
615	None
616	None
617	2279
618	None
619	None
620	904
621	488
622	None
623	None
624	None
625	620
626	552
627	268
628	None
629	None
630	None
631	None
632	766
633	737
634	652
635	1599
636	None
637	657
638	None
639	None
640	1328
641	638
642	None
643	None
644	792
645	None
646	513
647	None
648	671
649	877
650	714
651	692
652	585
653	985
654	None
655	1665
656	1763
657	918
658	660
659	782
660	728
661	None
662	640
663	2727
664	1547
665	569
666	685
667	None
668	770
669	None
670	1230
671	698
672	None
673	None
674	806
675	None
676	None
677	644
678	901
679	1263
680	875
681	None
682	616
683	None
684	784
685	1147
686	1754
687	634
688	None
689	591
690	1111
691	689
692	544
693	1391
694	None
695	None
696	None
697	1574
698	729
699	726
700	604
701	None
702	1711
703	622
704	861
705	871
706	716
707	None
708	817
709	None
710	938
711	1752
712	741
713	696
714	None
715	701
716	1599
717	788
718	None
719	653
720	1180
721	None
722	678
723	589
724	836
725	646
726	None
727	586
728	2704
729	None
730	675
731	577
732	None
733	871
734	779
735	935
736	None
737	1828
738	600
739	None
740	2220
741	823
742	None
743	None
744	844
745	711
746	3560
747	763
748	641
749	659
750	2564
751	688
752	1906
753	793
754	None
755	None
756	None
757	1012
758	783
759	None
760	2356
761	1013
762	897
763	765
764	1511
765	747
766	1759
767	789
768	None
769	1385
770	1704
771	None
772	2109
773	807
774	None
775	None
776	886
777	647
778	725
779	2727
780	None
781	928
782	None
783	1217
784	None
785	674
786	1709
787	668
788	670
789	764
790	None
791	None
792	852
793	None
794	1044
795	796
796	666
797	1161
798	2356
799	766
800	785
801	913
802	883
803	912
804	936
805	907
806	None
807	1645
808	None
809	1075
810	None
811	883
812	None
813	1095
814	1015
815	None
816	2356
817	None
818	None
819	1209
820	None
821	None
822	2696
823	825
824	None
825	None
826	900
827	1087
828	1031
829	686
830	None
831	None
832	859
833	939
834	902
835	None
836	873
837	None
838	2975
839	1745
840	1152
841	None
842	None
843	572
844	978
845	1134
846	None
847	None
848	1026
849	1049
850	None
851	851
852	775
853	933
854	None
855	None
856	993
857	1008
858	1035
859	1309
860	2472
861	787
862	1000
863	2770
864	None
865	921
866	914
867	1000
868	734
869	None
870	None
871	None
872	None
873	972
874	908
875	761
876	839
877	1798
878	956
879	777
880	1569
881	None
882	2483
883	1108
884	None
885	1061
886	1696
887	1128
888	1548
889	None
890	None
891	2315
892	3221
893	811
894	None
895	758
896	None
897	885
898	1072
899	1078
900	None
901	None
902	954
903	895
904	942
905	831
906	None
907	2599
908	1002
909	1082
910	876
911	None
912	1027
913	None
914	None
915	None
916	1107
917	3766
918	1547
919	1023
920	None
921	None
922	None
923	1296
924	None
925	None
926	1071
927	2423
928	None
929	None
930	None
931	1062
932	None
933	943
934	None
935	1637
936	1665
937	None
938	1954
939	None
940	None
941	2077
942	None
943	None
944	1521
945	None
946	2610
947	None
948	None
949	814
950	1148
951	909
952	None
953	1283
954	1007
955	996
956	1097
957	887
958	983
959	None
960	1395
961	949
962	1047
963	None
964	3221
965	2599
966	853
967	1373
968	1184
969	None
970	771
971	2026
972	1648
973	None
974	995
975	1016
976	1468
977	1017
978	963
979	1255
980	979
981	None
982	None
983	None
984	1198
985	2168
986	None
987	985
988	1155
989	None
990	None
991	None
992	None
993	None
994	None
995	944
996	1607
997	None
998	1037
999	None
1000	919
1001	None
1002	1590
1003	None
1004	None
1005	2798
1006	None
1007	925
1008	None
1009	1527
1010	None
1011	922
1012	1759
1013	826
