2965 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymB_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymB_cool_star_SN']
LCDM_vanilla	SymB_cool_star_SN
0	0
1	1
2	2
3	3
4	4
5	6
6	7
7	14
8	None
9	11
10	8
11	10
12	9
13	13
14	24
15	15
16	19
17	20
18	21
19	None
20	50
21	18
22	22
23	27
24	30
25	23
26	17
27	26
28	None
29	28
30	32
31	36
32	33
33	35
34	34
35	56
36	29
37	38
38	None
39	42
40	39
41	48
42	31
43	66
44	59
45	52
46	43
47	49
48	53
49	45
50	46
51	54
52	132
53	51
54	44
55	70
56	None
57	41
58	58
59	98
60	77
61	47
62	68
63	152
64	60
65	64
66	61
67	83
68	95
69	255
70	86
71	81
72	92
73	76
74	82
75	88
76	106
77	63
78	100
79	111
80	65
81	99
82	None
83	102
84	None
85	143
86	123
87	110
88	67
89	112
90	243
91	243
92	87
93	120
94	115
95	97
96	73
97	93
98	74
99	114
100	136
101	125
102	119
103	79
104	124
105	89
106	118
107	101
108	127
109	121
110	139
111	None
112	105
113	None
114	94
115	None
116	159
117	96
118	None
119	None
120	144
121	246
122	91
123	138
124	137
125	None
126	185
127	141
128	None
129	131
130	142
131	154
132	None
133	172
134	160
135	155
136	181
137	193
138	134
139	None
140	117
141	167
142	168
143	126
144	163
145	None
146	None
147	176
148	416
149	173
150	460
151	None
152	None
153	216
154	133
155	130
156	161
157	219
158	None
159	200
160	169
161	180
162	None
163	165
164	146
165	177
166	205
167	211
168	171
169	156
170	197
171	147
172	164
173	None
174	229
175	148
176	297
177	149
178	201
179	204
180	230
181	273
182	476
183	298
184	213
185	227
186	183
187	247
188	385
189	157
190	None
191	188
192	476
193	398
194	224
195	725
196	208
197	215
198	295
199	182
200	195
201	212
202	194
203	174
204	184
205	232
206	287
207	233
208	221
209	None
210	336
211	299
212	222
213	893
214	286
215	241
216	None
217	257
218	None
219	236
220	267
221	386
222	None
223	None
224	281
225	256
226	292
227	None
228	None
229	252
230	None
231	158
232	288
233	1779
234	266
235	276
236	None
237	314
238	238
239	285
240	360
241	321
242	284
243	324
244	322
245	220
246	305
247	286
248	303
249	1605
250	254
251	None
252	352
253	280
254	344
255	265
256	None
257	None
258	None
259	249
260	192
261	None
262	426
263	None
264	350
265	328
266	460
267	433
268	None
269	None
270	852
271	None
272	251
273	None
274	283
275	253
276	332
277	274
278	None
279	296
280	340
281	279
282	None
283	416
284	726
285	493
286	None
287	None
288	244
289	430
290	None
291	346
292	269
293	361
294	1063
295	None
296	544
297	372
298	None
299	None
300	483
301	327
302	None
303	242
304	None
305	523
306	None
307	603
308	301
309	333
310	312
311	319
312	489
313	370
314	534
315	423
316	None
317	373
318	412
319	405
320	None
321	384
322	797
323	339
324	1217
325	530
326	462
327	382
328	None
329	None
330	245
331	None
332	None
333	None
334	302
335	863
336	471
337	None
338	None
339	282
340	311
341	434
342	1336
343	349
344	468
345	None
346	348
347	None
348	None
349	409
350	345
351	264
352	465
353	406
354	329
355	None
356	317
357	376
358	None
359	369
360	546
361	None
362	None
363	338
364	366
365	460
366	None
367	522
368	None
369	None
370	1406
371	479
372	535
373	474
374	None
375	None
376	None
377	374
378	840
379	None
380	None
381	None
382	None
383	None
384	None
385	459
386	None
387	335
388	812
389	480
390	933
391	393
392	None
393	1440
394	None
395	420
396	1110
397	515
398	347
399	512
400	411
401	None
402	None
403	379
404	400
405	None
406	2161
407	616
408	425
409	None
410	586
411	None
412	None
413	681
414	None
415	323
416	663
417	449
418	401
419	685
420	None
421	None
422	608
423	None
424	1789
425	435
426	383
427	None
428	None
429	461
430	567
431	457
432	1679
433	None
434	707
435	646
436	601
437	None
438	None
439	None
440	593
441	1036
442	None
443	463
444	None
445	367
446	1527
447	343
448	None
449	381
450	391
451	514
452	None
453	None
454	359
455	531
456	None
457	326
458	378
459	1035
460	669
461	692
462	413
463	609
464	652
465	None
466	466
467	402
468	448
469	756
470	831
471	None
472	None
473	607
474	None
475	537
476	None
477	432
478	557
479	421
480	1163
481	923
482	None
483	595
484	1447
485	None
486	539
487	644
488	467
489	501
490	None
491	None
492	932
493	503
494	1026
495	1163
496	935
497	623
498	491
499	None
500	899
501	None
502	None
503	None
504	394
505	458
506	726
507	563
508	None
509	None
510	863
511	None
512	495
513	478
514	None
515	485
516	None
517	None
518	610
519	None
520	507
521	None
522	None
523	None
524	539
525	818
526	572
527	None
528	716
529	None
530	911
531	1447
532	1406
533	None
534	None
535	None
536	None
537	None
538	533
539	None
540	None
541	None
542	None
543	None
544	1492
545	717
546	594
547	None
548	1614
549	735
550	740
551	None
552	760
553	551
554	526
555	1336
556	500
557	None
558	502
559	527
560	None
561	None
562	None
563	508
564	None
565	598
566	591
567	714
568	2034
569	None
570	1557
571	492
572	None
573	620
574	607
575	1349
576	None
577	None
578	602
579	None
580	1117
581	536
582	None
583	664
584	587
585	867
586	451
587	1442
588	None
589	None
590	612
591	None
592	705
593	None
594	None
595	628
596	672
597	611
598	None
599	604
600	605
601	1010
602	709
603	2858
604	None
605	748
606	None
607	538
608	1008
609	None
610	524
611	606
612	626
613	671
614	None
615	None
616	None
617	1964
618	None
619	None
620	797
621	516
622	None
623	None
624	None
625	632
626	629
627	265
628	None
629	None
630	None
631	None
632	729
633	693
634	651
635	1825
636	None
637	742
638	None
639	None
640	1436
641	630
642	None
643	None
644	829
645	None
646	543
647	None
648	654
649	1046
650	689
651	662
652	592
653	967
654	703
655	1820
656	1589
657	508
658	668
659	667
660	648
661	None
662	691
663	2985
664	1515
665	562
666	771
667	None
668	657
669	None
670	1111
671	680
672	None
673	None
674	796
675	None
676	None
677	660
678	894
679	None
680	784
681	None
682	617
683	None
684	924
685	1671
686	2119
687	638
688	None
689	597
690	1088
691	832
692	575
693	941
694	None
695	None
696	None
697	1583
698	622
699	937
700	696
701	None
702	1774
703	633
704	711
705	910
706	889
707	None
708	791
709	None
710	782
711	1745
712	625
713	874
714	None
715	None
716	1825
717	765
718	None
719	613
720	1133
721	None
722	715
723	619
724	774
725	634
726	None
727	588
728	3033
729	None
730	710
731	None
732	None
733	910
734	895
735	802
736	None
737	None
738	None
739	None
740	2406
741	826
742	None
743	724
744	721
745	932
746	3520
747	723
748	741
749	708
750	2468
751	694
752	810
753	746
754	None
755	None
756	None
757	990
758	795
759	None
760	1694
761	976
762	911
763	737
764	1447
765	642
766	1714
767	772
768	None
769	1379
770	1548
771	None
772	2771
773	781
774	None
775	None
776	713
777	822
778	763
779	2985
780	None
781	873
782	None
783	1344
784	None
785	636
786	2155
787	686
788	807
789	697
790	None
791	None
792	870
793	None
794	1510
795	938
796	None
797	1455
798	None
799	729
800	759
801	None
802	939
803	1009
804	890
805	900
806	None
807	1604
808	None
809	998
810	None
811	939
812	None
813	2183
814	866
815	None
816	1694
817	None
818	None
819	1603
820	755
821	None
822	2665
823	757
824	None
825	None
826	957
827	903
828	973
829	769
830	None
831	None
832	820
833	877
834	909
835	None
836	838
837	None
838	2965
839	None
840	1068
841	None
842	None
843	647
844	984
845	1192
846	None
847	None
848	None
849	1024
850	None
851	1038
852	739
853	855
854	None
855	None
856	988
857	1101
858	1004
859	None
860	2460
861	854
862	1129
863	2482
864	None
865	1000
866	1393
867	1129
868	871
869	None
870	None
871	None
872	773
873	869
874	930
875	849
876	814
877	1691
878	837
879	752
880	914
881	928
882	2145
883	1052
884	None
885	969
886	1734
887	987
888	1440
889	None
890	None
891	2865
892	None
893	851
894	None
895	859
896	None
897	1086
898	927
899	1069
900	None
901	None
902	1071
903	901
904	876
905	758
906	None
907	None
908	898
909	1095
910	868
911	None
912	980
913	None
914	None
915	None
916	1001
917	None
918	1515
919	879
920	None
921	None
922	None
923	1257
924	None
925	None
926	1048
927	1960
928	None
929	None
930	None
931	1103
932	None
933	812
934	None
935	1789
936	1820
937	None
938	1966
939	None
940	None
941	2132
942	None
943	None
944	1499
945	2048
946	2493
947	None
948	None
949	853
950	1065
951	994
952	None
953	1256
954	1083
955	978
956	1132
957	983
958	908
959	2326
960	1674
961	1144
962	1188
963	None
964	None
965	2517
966	834
967	948
968	972
969	None
970	None
971	2018
972	1759
973	None
974	846
975	1098
976	1524
977	1084
978	1016
979	1177
980	1154
981	None
982	None
983	None
984	1632
985	2746
986	None
987	967
988	1560
989	None
990	3539
991	None
992	None
993	None
994	None
995	1061
996	1564
997	None
998	819
999	None
1000	960
1001	None
1002	1501
1003	None
1004	None
1005	2430
1006	None
1007	968
1008	None
1009	1720
1010	None
1011	1023
1012	1714
1013	959
1014	2037
