3074 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymB_vanilla', '64', '.5', 'match_LCDM_vanilla_SymB_vanilla']
LCDM_vanilla	SymB_vanilla
0	0
1	1
2	2
3	3
4	5
5	7
6	8
7	4
8	None
9	13
10	11
11	10
12	9
13	14
14	12
15	15
16	17
17	20
18	19
19	None
20	47
21	27
22	22
23	24
24	26
25	23
26	21
27	29
28	None
29	25
30	37
31	53
32	28
33	30
34	39
35	34
36	32
37	67
38	None
39	40
40	33
41	59
42	35
43	66
44	56
45	36
46	41
47	45
48	50
49	42
50	55
51	60
52	None
53	49
54	48
55	72
56	117
57	43
58	54
59	74
60	68
61	44
62	57
63	137
64	64
65	88
66	69
67	71
68	82
69	117
70	None
71	121
72	62
73	65
74	70
75	73
76	86
77	61
78	79
79	142
80	75
81	80
82	None
83	113
84	None
85	111
86	102
87	94
88	None
89	140
90	161
91	161
92	81
93	100
94	125
95	92
96	87
97	95
98	78
99	112
100	160
101	116
102	128
103	84
104	115
105	101
106	106
107	104
108	110
109	107
110	108
111	None
112	96
113	None
114	99
115	359
116	135
117	124
118	None
119	89
120	127
121	515
122	91
123	133
124	134
125	359
126	139
127	129
128	None
129	118
130	130
131	143
132	103
133	149
134	148
135	136
136	156
137	205
138	131
139	105
140	119
141	168
142	163
143	144
144	158
145	650
146	147
147	159
148	None
149	153
150	None
151	None
152	None
153	223
154	141
155	126
156	152
157	157
158	None
159	174
160	145
161	166
162	None
163	162
164	151
165	181
166	200
167	175
168	146
169	183
170	172
171	132
172	182
173	None
174	196
175	165
176	260
177	171
178	212
179	176
180	199
181	231
182	1100
183	236
184	169
185	178
186	170
187	206
188	366
189	164
190	670
191	195
192	1100
193	311
194	273
195	761
196	189
197	186
198	210
199	202
200	235
201	179
202	194
203	154
204	246
205	191
206	249
207	192
208	216
209	None
210	276
211	284
212	222
213	None
214	350
215	184
216	None
217	247
218	218
219	207
220	233
221	328
222	None
223	257
224	344
225	217
226	288
227	1129
228	None
229	243
230	244
231	245
232	227
233	484
234	298
235	241
236	None
237	363
238	286
239	254
240	315
241	240
242	280
243	270
244	265
245	208
246	258
247	318
248	285
249	None
250	250
251	405
252	295
253	259
254	1311
255	380
256	237
257	None
258	None
259	278
260	281
261	304
262	357
263	None
264	289
265	263
266	780
267	350
268	None
269	190
270	350
271	372
272	274
273	871
274	221
275	228
276	314
277	264
278	None
279	323
280	353
281	282
282	209
283	636
284	None
285	386
286	None
287	None
288	271
289	404
290	None
291	329
292	248
293	301
294	1260
295	251
296	630
297	387
298	None
299	326
300	444
301	335
302	None
303	303
304	None
305	437
306	None
307	970
308	312
309	355
310	239
311	268
312	388
313	467
314	414
315	358
316	None
317	332
318	418
319	417
320	None
321	373
322	1105
323	308
324	1309
325	500
326	399
327	415
328	2113
329	None
330	225
331	None
332	None
333	None
334	385
335	1115
336	532
337	None
338	None
339	253
340	296
341	470
342	2060
343	345
344	403
345	338
346	365
347	None
348	402
349	361
350	272
351	662
352	478
353	317
354	339
355	834
356	381
357	342
358	279
359	316
360	667
361	None
362	None
363	None
364	287
365	780
366	None
367	439
368	None
369	None
370	None
371	600
372	502
373	429
374	448
375	400
376	None
377	313
378	696
379	None
380	None
381	None
382	None
383	None
384	None
385	521
386	None
387	337
388	626
389	589
390	773
391	343
392	None
393	None
394	466
395	1296
396	471
397	481
398	331
399	474
400	376
401	None
402	None
403	612
404	398
405	283
406	1986
407	624
408	391
409	None
410	492
411	382
412	None
413	512
414	1354
415	306
416	1299
417	334
418	534
419	592
420	None
421	None
422	547
423	None
424	2076
425	368
426	336
427	None
428	457
429	449
430	480
431	435
432	892
433	None
434	572
435	702
436	570
437	None
438	None
439	583
440	458
441	536
442	None
443	479
444	None
445	367
446	None
447	411
448	None
449	294
450	486
451	671
452	346
453	436
454	430
455	420
456	None
457	394
458	340
459	631
460	507
461	506
462	559
463	533
464	501
465	341
466	606
467	551
468	508
469	523
470	416
471	354
472	None
473	619
474	560
475	426
476	None
477	370
478	397
479	445
480	2083
481	632
482	None
483	537
484	1540
485	443
486	561
487	661
488	482
489	409
490	464
491	None
492	2691
493	None
494	None
495	2083
496	716
497	None
498	635
499	None
500	597
501	None
502	710
503	562
504	633
505	433
506	1495
507	419
508	745
509	578
510	1115
511	None
512	659
513	469
514	None
515	505
516	None
517	461
518	539
519	None
520	431
521	None
522	None
523	None
524	561
525	525
526	609
527	None
528	498
529	379
530	1438
531	1540
532	None
533	None
534	None
535	None
536	None
537	520
538	489
539	None
540	690
541	396
542	None
543	None
544	1863
545	527
546	459
547	None
548	826
549	653
550	566
551	540
552	737
553	499
554	510
555	2060
556	613
557	None
558	504
559	456
560	541
561	None
562	None
563	None
564	None
565	585
566	715
567	611
568	1899
569	None
570	473
571	425
572	401
573	524
574	None
575	921
576	None
577	406
578	679
579	None
580	863
581	513
582	1375
583	623
584	894
585	2491
586	522
587	2046
588	519
589	None
590	593
591	None
592	765
593	463
594	None
595	432
596	596
597	503
598	None
599	919
600	574
601	989
602	1258
603	1333
604	None
605	686
606	None
607	412
608	None
609	462
610	556
611	669
612	530
613	712
614	None
615	None
616	None
617	780
618	665
619	None
620	1105
621	516
622	594
623	None
624	None
625	608
626	856
627	380
628	None
629	None
630	None
631	603
632	1114
633	621
634	684
635	None
636	None
637	579
638	None
639	None
640	None
641	491
642	2000
643	None
644	829
645	None
646	697
647	None
648	None
649	776
650	None
651	576
652	607
653	1432
654	861
655	1354
656	1575
657	1036
658	549
659	651
660	546
661	None
662	656
663	2607
664	None
665	555
666	575
667	None
668	695
669	None
670	1296
671	1956
672	None
673	None
674	1044
675	617
676	None
677	642
678	598
679	980
680	610
681	None
682	571
683	None
684	1052
685	1695
686	2641
687	587
688	815
689	None
690	1019
691	850
692	655
693	1504
694	586
695	None
696	None
697	1971
698	494
699	638
700	564
701	535
702	2057
703	581
704	545
705	1529
706	944
707	None
708	645
709	None
710	568
711	1957
712	None
713	734
714	None
715	694
716	None
717	580
718	620
719	None
720	847
721	None
722	658
723	787
724	794
725	599
726	None
727	538
728	1318
729	637
730	None
731	783
732	590
733	2441
734	652
735	646
736	615
737	None
738	582
739	591
740	None
741	683
742	744
743	544
744	1076
745	727
746	None
747	1031
748	680
749	552
750	2805
751	748
752	618
753	677
754	None
755	584
756	None
757	1025
758	786
759	None
760	973
761	836
762	1438
763	896
764	1540
765	948
766	None
767	698
768	None
769	2512
770	1129
771	None
772	None
773	605
774	None
775	None
776	911
777	553
778	1017
779	2937
780	971
781	1001
782	None
783	1569
784	None
785	548
786	657
787	956
788	595
789	625
790	3352
791	None
792	823
793	None
794	1113
795	796
796	926
797	1085
798	973
799	1114
800	663
801	685
802	1109
803	831
804	735
805	None
806	None
807	None
808	None
809	1144
810	None
811	1109
812	None
813	1264
814	817
815	None
816	1892
817	None
818	None
819	1323
820	708
821	2397
822	2561
823	731
824	880
825	None
826	None
827	764
828	1143
829	634
830	None
831	703
832	774
833	None
834	722
835	None
836	706
837	666
838	2973
839	1679
840	816
841	None
842	None
843	657
844	855
845	1615
846	2192
847	None
848	1087
849	801
850	None
851	689
852	743
853	713
854	2009
855	756
856	705
857	1140
858	804
859	864
860	2799
861	649
862	986
863	3016
864	None
865	893
866	996
867	986
868	821
869	None
870	None
871	None
872	753
873	1119
874	777
875	692
876	1095
877	2540
878	1149
879	758
880	733
881	845
882	2817
883	835
884	None
885	None
886	2659
887	782
888	2367
889	None
890	None
891	1351
892	1873
893	1035
894	None
895	795
896	None
897	790
898	720
899	872
900	None
901	None
902	806
903	1056
904	784
905	729
906	None
907	None
908	809
909	746
910	768
911	None
912	811
913	None
914	None
915	None
916	721
917	3248
918	3130
919	757
920	None
921	None
922	654
923	1444
924	1545
925	968
926	741
927	2490
928	None
929	None
930	None
931	878
932	747
933	2110
934	None
935	2076
936	None
937	None
938	1722
939	None
940	None
941	1776
942	None
943	None
944	1522
945	730
946	1375
947	None
948	None
949	1073
950	843
951	1062
952	None
953	2050
954	1104
955	1123
956	936
957	1103
958	798
959	2495
960	1029
961	None
962	808
963	1292
964	851
965	2846
966	769
967	822
968	1006
969	763
970	None
971	1740
972	2449
973	883
974	867
975	838
976	1077
977	1787
978	1162
979	1102
980	812
981	957
982	None
983	None
984	1189
985	None
986	None
987	1432
988	1215
989	754
990	3265
991	None
992	None
993	None
994	None
995	819
996	1330
997	None
998	849
999	None
1000	1128
1001	None
1002	1141
1003	None
1004	2481
1005	None
1006	None
1007	810
1008	1110
1009	2564
1010	None
1011	889
1012	2787
1013	781
1014	2840
1015	None
