2119 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymC_DM', '64', '.5', 'match_LCDM_vanilla_SymC_DM']
LCDM_vanilla	SymC_DM
0	0
1	1
2	3
3	2
4	5
5	6
6	7
7	4
8	11
9	13
10	10
11	9
12	8
13	15
14	12
15	16
16	18
17	19
18	17
19	20
20	32
21	21
22	22
23	24
24	26
25	25
26	None
27	30
28	27
29	28
30	34
31	90
32	29
33	31
34	44
35	42
36	43
37	52
38	None
39	37
40	33
41	60
42	36
43	50
44	55
45	53
46	46
47	48
48	47
49	49
50	58
51	54
52	69
53	51
54	None
55	None
56	63
57	56
58	64
59	62
60	61
61	79
62	57
63	158
64	65
65	118
66	59
67	66
68	70
69	85
70	76
71	88
72	83
73	74
74	73
75	72
76	91
77	67
78	78
79	89
80	87
81	77
82	None
83	112
84	173
85	147
86	None
87	110
88	81
89	246
90	None
91	None
92	107
93	98
94	None
95	108
96	86
97	None
98	93
99	103
100	200
101	122
102	None
103	106
104	101
105	111
106	109
107	105
108	94
109	96
110	115
111	99
112	117
113	None
114	116
115	149
116	126
117	None
118	None
119	None
120	133
121	164
122	171
123	135
124	None
125	149
126	140
127	119
128	None
129	114
130	None
131	148
132	None
133	132
134	139
135	131
136	197
137	187
138	129
139	None
140	124
141	161
142	137
143	143
144	138
145	None
146	165
147	145
148	455
149	141
150	318
151	None
152	136
153	181
154	None
155	130
156	None
157	160
158	None
159	174
160	None
161	194
162	411
163	None
164	183
165	176
166	245
167	None
168	None
169	None
170	169
171	None
172	None
173	None
174	236
175	175
176	339
177	188
178	214
179	180
180	201
181	225
182	191
183	237
184	163
185	353
186	None
187	None
188	351
189	154
190	395
191	None
192	191
193	272
194	None
195	226
196	None
197	None
198	None
199	204
200	273
201	None
202	None
203	None
204	232
205	None
206	230
207	None
208	None
209	205
210	336
211	290
212	None
213	328
214	284
215	None
216	None
217	251
218	None
219	217
220	None
221	None
222	None
223	None
224	627
225	None
226	None
227	202
228	410
229	None
230	None
231	274
232	None
233	584
234	None
235	None
236	1107
237	None
238	436
239	285
240	338
241	None
242	263
243	296
244	None
245	None
246	None
247	284
248	None
249	421
250	266
251	None
252	323
253	242
254	184
255	317
256	None
257	None
258	802
259	322
260	223
261	None
262	321
263	None
264	343
265	867
266	403
267	None
268	None
269	None
270	460
271	None
272	None
273	644
274	None
275	None
276	None
277	264
278	None
279	None
280	311
281	None
282	None
283	382
284	960
285	453
286	295
287	None
288	None
289	None
290	None
291	None
292	None
293	None
294	486
295	286
296	722
297	440
298	259
299	None
300	512
301	607
302	464
303	634
304	None
305	None
306	None
307	439
308	726
309	None
310	None
311	None
312	None
313	444
314	445
315	435
316	None
317	341
318	None
319	None
320	None
321	None
322	850
323	None
324	451
325	562
326	None
327	None
328	411
329	None
330	None
331	None
332	347
333	None
334	None
335	None
336	345
337	202
338	None
339	288
340	None
341	340
342	422
343	331
344	None
345	None
346	397
347	None
348	None
349	405
350	304
351	None
352	539
353	370
354	329
355	428
356	None
357	576
358	346
359	None
360	427
361	917
362	None
363	None
364	None
365	458
366	1444
367	597
368	None
369	1196
370	747
371	543
372	608
373	574
374	None
375	None
376	603
377	None
378	None
379	None
380	None
381	705
382	None
383	None
384	None
385	506
386	None
387	None
388	1308
389	None
390	975
391	389
392	917
393	799
394	None
395	621
396	None
397	586
398	None
399	714
400	401
401	None
402	None
403	618
404	None
405	None
406	1544
407	None
408	None
409	None
410	None
411	None
412	None
413	None
414	874
415	None
416	414
417	None
418	None
419	626
420	1765
421	1105
422	None
423	None
424	572
425	None
426	None
427	642
428	550
429	None
430	408
431	471
432	None
433	1255
434	None
435	None
436	None
437	1121
438	1803
439	None
440	None
441	1420
442	None
443	792
444	None
445	None
446	1993
447	None
448	2438
449	None
450	None
451	454
452	None
453	None
454	None
455	None
456	None
457	None
458	None
459	None
460	677
461	None
462	None
463	517
464	None
465	1062
466	None
467	None
468	None
469	None
470	None
471	None
472	612
473	681
474	None
475	None
476	None
477	1078
478	None
479	None
480	540
481	None
482	None
483	536
484	1166
485	None
486	1163
487	719
488	None
489	None
490	None
491	None
492	None
493	None
494	None
495	None
496	None
497	1627
498	None
499	None
500	None
501	None
502	None
503	None
504	474
505	514
506	960
507	None
508	None
509	None
510	1126
511	1359
512	516
513	None
514	None
515	606
516	1628
517	None
518	None
519	None
520	None
521	None
522	3199
523	993
524	1477
525	711
526	1705
527	None
528	None
529	696
530	1035
531	1166
532	747
533	None
534	None
535	1777
536	None
537	None
538	None
539	None
540	889
541	None
542	None
543	None
544	1620
545	None
546	None
547	None
548	577
549	None
550	None
551	None
552	902
553	None
554	None
555	664
556	838
557	None
558	1651
559	None
560	None
561	None
562	None
563	None
564	None
565	None
566	970
567	None
568	641
569	None
570	1218
571	None
572	None
573	None
574	None
575	728
576	1615
577	None
578	730
579	None
580	1269
581	None
582	1343
583	898
584	None
585	1403
586	None
587	1025
588	None
589	None
590	744
591	None
592	None
593	None
594	None
595	None
596	None
597	None
598	None
599	None
600	None
601	None
602	750
603	724
604	None
605	807
606	None
607	None
608	None
609	None
610	None
611	None
612	None
613	1765
614	None
615	None
616	None
617	1669
618	757
619	1384
620	850
621	None
622	None
623	None
624	None
625	None
626	None
627	456
628	None
629	None
630	None
631	940
632	2027
633	None
634	None
635	None
636	None
637	None
638	844
639	920
640	1285
641	None
642	None
643	1157
644	None
645	1810
646	None
647	None
648	None
649	None
650	None
651	None
652	None
653	669
654	None
655	874
656	921
657	None
658	None
659	None
660	None
661	2129
662	None
663	1121
664	1929
665	None
666	None
667	None
668	None
669	None
670	973
671	455
672	993
673	None
674	None
675	None
676	None
677	None
678	1809
679	1400
680	None
681	None
682	None
683	1694
684	793
685	None
686	None
687	818
688	None
689	1690
690	None
691	None
692	None
693	350
694	None
695	None
696	1715
697	1339
698	None
699	None
700	None
701	None
702	1584
703	None
704	None
705	672
706	None
707	None
708	None
709	None
710	1678
711	773
712	753
713	None
714	None
715	None
716	None
717	None
718	None
719	None
720	None
721	None
722	928
723	None
724	None
725	None
726	None
727	None
728	None
729	None
730	None
731	None
732	None
733	None
734	None
735	None
736	None
737	1863
738	None
739	None
740	1887
741	974
742	None
743	None
744	1387
745	None
746	1114
747	None
748	None
749	None
750	1292
751	None
752	1409
753	None
754	None
755	None
756	None
757	1676
758	None
759	1772
760	1024
761	1082
762	2435
763	None
764	1166
765	901
766	1231
767	None
768	None
769	984
770	350
771	None
772	2159
773	None
774	1377
775	None
776	966
777	None
778	None
779	None
780	None
781	None
782	None
783	1726
784	None
785	None
786	1583
787	None
788	None
789	None
790	1805
791	None
792	2058
793	None
794	1063
795	None
796	None
797	None
798	None
799	2027
800	None
801	None
802	None
803	None
804	None
805	None
806	None
807	1492
808	None
809	None
810	1258
811	1094
812	None
813	1146
814	None
815	None
816	1024
817	None
818	None
819	1535
820	2773
821	774
822	858
823	None
824	981
825	None
826	None
827	None
828	963
829	972
830	1343
831	None
832	None
833	None
834	1189
835	None
836	None
837	None
838	None
839	1898
840	2039
841	2337
842	2115
843	848
844	1244
845	1251
846	560
847	2219
848	None
849	None
850	None
851	None
852	None
853	None
854	2444
855	None
856	None
857	None
858	None
859	None
860	2301
861	None
862	None
863	1640
864	None
865	1403
866	None
867	804
868	None
869	None
870	1453
871	None
872	None
873	None
874	None
875	None
876	2189
877	None
878	None
879	None
880	2507
881	None
882	2952
883	None
884	1277
885	None
886	1550
887	None
888	None
889	None
890	None
891	1869
892	None
893	None
894	1157
895	None
896	None
897	None
898	1081
899	None
900	None
901	None
902	None
903	None
904	None
905	None
906	None
907	1442
908	2220
909	None
910	1838
911	None
912	None
913	None
914	None
915	None
916	None
917	2335
918	2516
919	1242
920	None
921	None
922	None
923	3237
924	None
925	None
926	None
927	1542
928	None
929	None
930	1423
931	1394
932	None
933	1308
934	None
935	835
936	1536
937	None
938	1305
939	None
940	None
941	2279
942	1458
943	None
944	None
945	2815
946	1343
947	None
948	None
949	None
950	None
951	2429
952	None
953	None
954	None
955	None
956	None
957	1649
958	None
959	1797
960	1609
961	381
962	1253
963	None
964	None
965	None
966	None
967	None
968	None
969	None
970	None
971	1505
972	630
973	None
974	None
975	None
976	None
977	1786
978	None
979	None
980	None
981	None
982	2950
983	None
984	3305
985	None
986	None
987	None
988	None
989	None
990	3663
991	2123
992	None
993	None
994	None
995	None
996	363
997	None
998	None
999	None
1000	None
1001	1630
1002	1128
1003	2879
1004	None
1005	2749
1006	2617
1007	None
1008	2537
1009	None
1010	None
1011	None
1012	None
1013	None
1014	None
1015	None
1016	None
