2950 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymC_cool_star', '64', '.5', 'match_LCDM_vanilla_SymC_cool_star']
LCDM_vanilla	SymC_cool_star
0	0
1	1
2	2
3	3
4	4
5	7
6	6
7	23
8	9
9	11
10	23
11	45
12	8
13	13
14	12
15	14
16	16
17	15
18	19
19	17
20	18
21	20
22	22
23	26
24	28
25	24
26	21
27	27
28	25
29	34
30	29
31	None
32	30
33	31
34	40
35	44
36	50
37	38
38	111
39	42
40	41
41	39
42	32
43	37
44	43
45	55
46	48
47	58
48	36
49	51
50	57
51	46
52	74
53	54
54	None
55	None
56	61
57	49
58	66
59	62
60	84
61	92
62	64
63	111
64	68
65	78
66	70
67	82
68	83
69	113
70	79
71	91
72	133
73	75
74	85
75	87
76	106
77	76
78	98
79	59
80	105
81	72
82	None
83	69
84	None
85	172
86	None
87	102
88	65
89	103
90	187
91	187
92	89
93	112
94	None
95	107
96	97
97	88
98	101
99	114
100	129
101	146
102	None
103	81
104	120
105	86
106	99
107	93
108	115
109	127
110	145
111	125
112	136
113	165
114	100
115	122
116	164
117	None
118	116
119	None
120	143
121	199
122	None
123	234
124	117
125	196
126	176
127	128
128	None
129	137
130	156
131	195
132	None
133	193
134	174
135	149
136	201
137	181
138	None
139	None
140	108
141	204
142	189
143	132
144	131
145	302
146	163
147	192
148	290
149	194
150	279
151	643
152	160
153	219
154	179
155	109
156	162
157	144
158	None
159	224
160	None
161	217
162	188
163	None
164	186
165	None
166	244
167	230
168	None
169	185
170	220
171	191
172	None
173	None
174	231
175	130
176	223
177	141
178	238
179	154
180	248
181	197
182	435
183	288
184	210
185	635
186	None
187	None
188	269
189	124
190	None
191	242
192	173
193	390
194	None
195	278
196	205
197	None
198	None
199	317
200	252
201	None
202	None
203	None
204	180
205	None
206	293
207	None
208	262
209	213
210	357
211	304
212	None
213	500
214	675
215	268
216	None
217	265
218	None
219	200
220	None
221	391
222	None
223	None
224	171
225	264
226	329
227	724
228	167
229	None
230	None
231	161
232	None
233	236
234	None
235	310
236	922
237	None
238	295
239	346
240	394
241	None
242	225
243	374
244	354
245	None
246	333
247	318
248	None
249	236
250	463
251	595
252	320
253	None
254	289
255	227
256	None
257	None
258	800
259	240
260	296
261	None
262	434
263	None
264	432
265	None
266	402
267	433
268	337
269	None
270	575
271	None
272	None
273	476
274	None
275	None
276	412
277	305
278	None
279	260
280	373
281	334
282	None
283	443
284	466
285	560
286	375
287	None
288	None
289	None
290	None
291	None
292	None
293	None
294	None
295	257
296	427
297	387
298	273
299	None
300	526
301	297
302	501
303	565
304	None
305	436
306	None
307	775
308	None
309	None
310	None
311	None
312	None
313	420
314	518
315	488
316	None
317	364
318	477
319	None
320	None
321	504
322	1110
323	None
324	505
325	629
326	None
327	None
328	None
329	None
330	None
331	1276
332	306
333	None
334	281
335	1162
336	1783
337	None
338	1202
339	339
340	None
341	393
342	469
343	343
344	None
345	None
346	459
347	None
348	568
349	448
350	353
351	316
352	542
353	440
354	369
355	None
356	None
357	688
358	831
359	322
360	381
361	1490
362	None
363	None
364	None
365	524
366	None
367	570
368	None
369	1237
370	1228
371	548
372	678
373	None
374	None
375	None
376	1020
377	None
378	617
379	None
380	None
381	None
382	461
383	377
384	None
385	358
386	None
387	None
388	1841
389	None
390	1083
391	380
392	1490
393	642
394	None
395	615
396	None
397	580
398	None
399	431
400	365
401	None
402	None
403	332
404	None
405	None
406	2524
407	None
408	736
409	None
410	None
411	None
412	None
413	None
414	811
415	None
416	831
417	None
418	None
419	462
420	1622
421	834
422	752
423	None
424	1500
425	494
426	None
427	631
428	None
429	None
430	506
431	439
432	None
433	1657
434	None
435	None
436	None
437	1608
438	1255
439	None
440	None
441	1122
442	None
443	521
444	None
445	None
446	1001
447	None
448	None
449	None
450	None
451	514
452	None
453	None
454	None
455	640
456	None
457	None
458	None
459	982
460	547
461	None
462	None
463	503
464	None
465	None
466	None
467	None
468	None
469	None
470	859
471	None
472	None
473	397
474	None
475	None
476	None
477	1130
478	None
479	None
480	695
481	901
482	None
483	634
484	1679
485	None
486	None
487	559
488	None
489	None
490	None
491	None
492	1301
493	None
494	1244
495	None
496	None
497	1872
498	None
499	None
500	1052
501	534
502	None
503	None
504	None
505	577
506	466
507	None
508	430
509	None
510	1162
511	712
512	522
513	None
514	None
515	624
516	1335
517	None
518	None
519	None
520	None
521	None
522	2288
523	None
524	1294
525	539
526	None
527	None
528	None
529	605
530	858
531	1679
532	1228
533	None
534	None
535	1071
536	None
537	None
538	None
539	None
540	None
541	None
542	None
543	None
544	1584
545	None
546	None
547	1254
548	None
549	532
550	None
551	None
552	870
553	None
554	None
555	664
556	849
557	None
558	None
559	None
560	None
561	None
562	None
563	None
564	None
565	None
566	861
567	None
568	929
569	None
570	1124
571	None
572	None
573	None
574	None
575	926
576	1287
577	None
578	591
579	597
580	975
581	None
582	1283
583	830
584	None
585	932
586	None
587	1441
588	None
589	None
590	740
591	1659
592	None
593	None
594	None
595	None
596	777
597	None
598	None
599	None
600	None
601	1301
602	728
603	776
604	None
605	725
606	None
607	587
608	1232
609	None
610	None
611	None
612	None
613	1622
614	None
615	None
616	None
617	1567
618	802
619	None
620	1110
621	None
622	None
623	None
624	None
625	None
626	None
627	782
628	None
629	None
630	None
631	968
632	1541
633	None
634	None
635	None
636	None
637	None
638	2131
639	749
640	1163
641	None
642	None
643	1326
644	None
645	702
646	None
647	None
648	None
649	None
650	None
651	None
652	None
653	715
654	None
655	1980
656	2274
657	892
658	None
659	None
660	None
661	720
662	None
663	1608
664	1769
665	None
666	None
667	None
668	None
669	None
670	994
671	805
672	1744
673	None
674	None
675	None
676	None
677	None
678	745
679	None
680	1025
681	1038
682	None
683	None
684	788
685	None
686	None
687	765
688	None
689	1357
690	1977
691	None
692	None
693	724
694	None
695	None
696	1167
697	1416
698	None
699	1111
700	None
701	None
702	1276
703	None
704	None
705	None
706	None
707	None
708	817
709	None
710	1359
711	1915
712	663
713	None
714	None
715	None
716	None
717	704
718	None
719	None
720	None
721	None
722	None
723	None
724	None
725	None
726	None
727	None
728	None
729	None
730	None
731	None
732	None
733	None
734	None
735	None
736	None
737	1935
738	None
739	None
740	None
741	844
742	None
743	None
744	1590
745	None
746	2341
747	None
748	None
749	878
750	1176
751	None
752	1692
753	None
754	None
755	None
756	1423
757	1752
758	None
759	1861
760	959
761	796
762	None
763	None
764	1679
765	None
766	1144
767	None
768	None
769	1041
770	1961
771	None
772	1803
773	None
774	1613
775	None
776	866
777	None
778	None
779	919
780	None
781	None
782	None
783	1274
784	None
785	None
786	2157
787	None
788	819
789	None
790	1951
791	None
792	None
793	None
794	1116
795	None
796	None
797	None
798	None
799	856
800	None
801	None
802	766
803	1168
804	None
805	None
806	None
807	1229
808	None
809	1112
810	1799
811	1724
812	None
813	2009
814	980
815	None
816	860
817	None
818	None
819	1712
820	1132
821	None
822	1783
823	None
824	855
825	None
826	898
827	937
828	908
829	751
830	1218
831	None
832	None
833	None
834	1072
835	None
836	None
837	None
838	None
839	1627
840	1292
841	1737
842	2390
843	None
844	1181
845	1509
846	1391
847	None
848	None
849	None
850	None
851	None
852	None
853	None
854	None
855	None
856	986
857	None
858	None
859	None
860	1103
861	None
862	None
863	2182
864	None
865	1226
866	None
867	1370
868	None
869	None
870	1665
871	None
872	None
873	None
874	None
875	None
876	None
877	1430
878	None
879	None
880	1742
881	None
882	1954
883	None
884	1017
885	1328
886	1237
887	1125
888	None
889	2200
890	None
891	1843
892	None
893	None
894	1326
895	888
896	None
897	None
898	1240
899	None
900	None
901	None
902	1265
903	None
904	1024
905	None
906	None
907	1345
908	1626
909	None
910	2429
911	None
912	None
913	None
914	None
915	None
916	1180
917	2351
918	2081
919	1234
920	None
921	None
922	None
923	1995
924	1377
925	None
926	1036
927	None
928	None
929	None
930	2046
931	1380
932	None
933	1841
934	None
935	2022
936	1980
937	None
938	1413
939	None
940	None
941	2050
942	1890
943	2034
944	2123
945	None
946	1218
947	None
948	1724
949	None
950	1340
951	1369
952	None
953	None
954	None
955	None
956	1170
957	1150
958	None
959	1687
960	1539
961	746
962	1152
963	1350
964	None
965	None
966	None
967	1426
968	None
969	None
970	1797
971	1686
972	1857
973	None
974	2158
975	None
976	None
977	1782
978	None
979	None
980	None
981	None
982	1931
983	None
984	1448
985	1827
986	None
987	None
988	1222
989	None
990	None
991	2085
992	None
993	None
994	None
995	None
996	1976
997	None
998	None
999	1505
1000	None
1001	None
1002	1159
1003	1873
1004	2204
1005	2270
1006	None
1007	1126
1008	1595
1009	None
