3257 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymC_vanilla', '64', '.5', 'match_LCDM_vanilla_SymC_vanilla']
LCDM_vanilla	SymC_vanilla
0	0
1	1
2	2
3	3
4	4
5	5
6	7
7	21
8	11
9	10
10	6
11	9
12	8
13	14
14	12
15	15
16	17
17	16
18	18
19	19
20	26
21	22
22	20
23	23
24	27
25	24
26	25
27	29
28	30
29	28
30	37
31	None
32	31
33	32
34	42
35	39
36	40
37	46
38	111
39	41
40	36
41	None
42	34
43	35
44	47
45	49
46	50
47	52
48	43
49	51
50	54
51	48
52	60
53	53
54	33
55	38
56	61
57	55
58	62
59	57
60	69
61	78
62	58
63	111
64	65
65	122
66	59
67	70
68	68
69	121
70	64
71	89
72	103
73	77
74	71
75	75
76	90
77	67
78	80
79	84
80	82
81	76
82	None
83	93
84	129
85	156
86	None
87	107
88	81
89	173
90	212
91	212
92	85
93	95
94	None
95	110
96	83
97	None
98	91
99	99
100	152
101	126
102	None
103	87
104	100
105	86
106	94
107	102
108	98
109	109
110	106
111	88
112	119
113	130
114	116
115	164
116	153
117	None
118	108
119	101
120	136
121	128
122	398
123	None
124	105
125	125
126	133
127	112
128	None
129	114
130	132
131	131
132	None
133	138
134	142
135	147
136	194
137	140
138	None
139	None
140	104
141	167
142	151
143	148
144	145
145	None
146	169
147	155
148	149
149	146
150	484
151	None
152	120
153	168
154	162
155	127
156	124
157	154
158	None
159	182
160	139
161	170
162	150
163	157
164	206
165	161
166	281
167	171
168	None
169	177
170	174
171	159
172	None
173	None
174	224
175	160
176	264
177	185
178	205
179	184
180	198
181	213
182	217
183	242
184	172
185	719
186	None
187	197
188	447
189	144
190	None
191	175
192	470
193	None
194	815
195	263
196	188
197	186
198	207
199	214
200	319
201	183
202	209
203	166
204	227
205	None
206	225
207	None
208	200
209	190
210	288
211	276
212	None
213	308
214	330
215	None
216	None
217	266
218	None
219	211
220	251
221	259
222	None
223	245
224	694
225	215
226	244
227	None
228	446
229	235
230	None
231	250
232	None
233	337
234	None
235	237
236	None
237	249
238	537
239	258
240	322
241	None
242	289
243	271
244	262
245	None
246	246
247	601
248	247
249	337
250	304
251	None
252	295
253	261
254	407
255	321
256	None
257	278
258	303
259	None
260	256
261	None
262	306
263	None
264	323
265	269
266	437
267	329
268	285
269	231
270	346
271	None
272	None
273	412
274	None
275	None
276	287
277	270
278	None
279	268
280	296
281	299
282	272
283	450
284	None
285	388
286	307
287	None
288	238
289	None
290	None
291	None
292	None
293	255
294	470
295	408
296	727
297	360
298	265
299	None
300	426
301	475
302	458
303	733
304	None
305	363
306	None
307	708
308	None
309	396
310	229
311	273
312	None
313	431
314	None
315	383
316	None
317	None
318	378
319	None
320	None
321	316
322	1111
323	274
324	525
325	432
326	503
327	392
328	298
329	None
330	None
331	None
332	257
333	None
334	260
335	None
336	None
337	None
338	None
339	313
340	314
341	356
342	424
343	331
344	364
345	None
346	333
347	None
348	377
349	532
350	365
351	598
352	451
353	384
354	347
355	None
356	354
357	497
358	507
359	405
360	324
361	1265
362	320
363	309
364	None
365	456
366	None
367	409
368	None
369	None
370	861
371	604
372	541
373	386
374	None
375	None
376	1357
377	300
378	798
379	None
380	None
381	1283
382	492
383	280
384	None
385	474
386	None
387	None
388	733
389	379
390	476
391	385
392	1265
393	940
394	None
395	762
396	1281
397	495
398	403
399	420
400	436
401	None
402	None
403	512
404	397
405	None
406	749
407	None
408	None
409	None
410	None
411	None
412	None
413	519
414	1169
415	None
416	596
417	345
418	435
419	995
420	1421
421	441
422	524
423	None
424	1487
425	357
426	743
427	646
428	None
429	399
430	423
431	343
432	None
433	1129
434	None
435	None
436	None
437	None
438	1850
439	None
440	None
441	827
442	None
443	478
444	None
445	380
446	718
447	None
448	None
449	None
450	None
451	509
452	None
453	439
454	None
455	466
456	606
457	417
458	None
459	648
460	527
461	700
462	415
463	670
464	None
465	None
466	445
467	None
468	None
469	536
470	473
471	422
472	630
473	530
474	None
475	413
476	None
477	1391
478	634
479	406
480	866
481	576
482	None
483	564
484	1319
485	None
486	None
487	638
488	555
489	None
490	None
491	936
492	1432
493	None
494	1148
495	None
496	None
497	633
498	427
499	None
500	611
501	1048
502	734
503	None
504	617
505	558
506	1101
507	526
508	477
509	None
510	1450
511	494
512	642
513	531
514	None
515	699
516	None
517	None
518	None
519	None
520	444
521	None
522	2105
523	None
524	None
525	758
526	538
527	None
528	627
529	681
530	948
531	1319
532	861
533	None
534	None
535	1140
536	686
537	None
538	493
539	None
540	849
541	None
542	None
543	None
544	950
545	None
546	575
547	677
548	None
549	809
550	None
551	None
552	641
553	None
554	581
555	778
556	569
557	None
558	None
559	430
560	None
561	None
562	None
563	None
564	None
565	572
566	903
567	None
568	863
569	None
570	1000
571	None
572	None
573	703
574	None
575	688
576	1293
577	None
578	659
579	471
580	958
581	None
582	994
583	803
584	748
585	645
586	697
587	587
588	666
589	None
590	772
591	None
592	None
593	None
594	433
595	504
596	644
597	489
598	None
599	553
600	None
601	1432
602	887
603	935
604	None
605	739
606	None
607	None
608	1116
609	510
610	481
611	789
612	None
613	None
614	760
615	693
616	None
617	1491
618	824
619	None
620	1111
621	671
622	None
623	731
624	None
625	559
626	464
627	969
628	None
629	None
630	None
631	490
632	655
633	856
634	854
635	None
636	None
637	None
638	664
639	968
640	769
641	557
642	None
643	1422
644	698
645	783
646	508
647	None
648	612
649	None
650	None
651	None
652	None
653	831
654	None
655	1169
656	1567
657	None
658	None
659	None
660	None
661	673
662	735
663	1438
664	None
665	None
666	680
667	None
668	None
669	None
670	705
671	860
672	1274
673	None
674	858
675	None
676	None
677	560
678	618
679	1099
680	636
681	1796
682	599
683	None
684	907
685	468
686	930
687	813
688	None
689	None
690	1748
691	764
692	584
693	1090
694	None
695	797
696	750
697	1837
698	None
699	647
700	None
701	None
702	1544
703	808
704	None
705	None
706	726
707	None
708	862
709	None
710	1318
711	1507
712	811
713	None
714	None
715	540
716	None
717	548
718	None
719	None
720	None
721	None
722	745
723	483
724	None
725	722
726	None
727	573
728	None
729	None
730	None
731	None
732	None
733	639
734	None
735	878
736	None
737	1488
738	None
739	None
740	None
741	927
742	None
743	None
744	1552
745	None
746	1746
747	952
748	None
749	582
750	2069
751	None
752	None
753	658
754	None
755	None
756	None
757	1248
758	916
759	None
760	2190
761	820
762	948
763	None
764	1319
765	586
766	1025
767	847
768	None
769	983
770	1090
771	834
772	2128
773	650
774	781
775	None
776	923
777	None
778	None
779	1144
780	None
781	610
782	None
783	982
784	None
785	None
786	1533
787	657
788	591
789	None
790	None
791	None
792	1009
793	None
794	938
795	None
796	None
797	715
798	2190
799	655
800	963
801	None
802	871
803	767
804	None
805	913
806	1432
807	1454
808	None
809	717
810	2172
811	1573
812	None
813	2044
814	1030
815	None
816	901
817	None
818	None
819	1598
820	1085
821	None
822	1530
823	522
824	961
825	None
826	563
827	915
828	835
829	625
830	994
831	None
832	838
833	707
834	818
835	None
836	804
837	None
838	1073
839	None
840	839
841	1773
842	1588
843	965
844	1235
845	1302
846	1289
847	1726
848	None
849	954
850	1738
851	896
852	None
853	801
854	1332
855	903
856	None
857	None
858	704
859	1194
860	1180
861	None
862	None
863	2097
864	None
865	1046
866	819
867	654
868	None
869	905
870	1437
871	997
872	None
873	914
874	None
875	556
876	None
877	None
878	814
879	None
880	981
881	1130
882	1864
883	None
884	812
885	None
886	1557
887	990
888	None
889	None
890	None
891	None
892	702
893	974
894	1422
895	889
896	None
897	761
898	955
899	None
900	None
901	891
902	1112
903	None
904	785
905	729
906	None
907	None
908	1592
909	765
910	1677
911	None
912	960
913	None
914	None
915	None
916	859
917	1813
918	2414
919	1222
920	None
921	None
922	None
923	1676
924	None
925	None
926	900
927	None
928	None
929	None
930	1425
931	1473
932	None
933	1849
934	None
935	1487
936	2199
937	None
938	1182
939	None
940	None
941	1725
942	1543
943	None
944	None
945	None
946	994
947	None
948	1573
949	934
950	1081
951	2471
952	None
953	964
954	None
955	None
956	833
957	1141
958	1358
959	1314
960	1560
961	832
962	1137
963	1328
964	830
965	None
966	1066
967	1240
968	None
969	None
970	882
971	1436
972	1087
973	1181
974	1015
975	1006
976	1051
977	788
978	779
979	None
980	None
981	None
982	None
983	None
984	1461
985	1063
986	None
987	1095
988	1119
989	None
990	1449
991	2206
992	None
993	None
994	1956
995	970
996	1206
997	None
998	None
999	1766
1000	1007
1001	1459
1002	1208
1003	837
1004	None
1005	2562
1006	1830
1007	895
1008	None
1009	1149
1010	None
1011	805
1012	1025
1013	None
1014	None
1015	1105
1016	None
