2299 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_cool_star', '64', '.5', 'match_LCDM_vanilla_SymD_cool_star']
LCDM_vanilla	SymD_cool_star
0	0
1	1
2	2
3	5
4	3
5	6
6	7
7	13
8	10
9	11
10	13
11	14
12	None
13	12
14	None
15	15
16	20
17	16
18	8
19	None
20	86
21	None
22	28
23	32
24	31
25	21
26	41
27	23
28	None
29	36
30	34
31	37
32	None
33	35
34	44
35	None
36	None
37	None
38	None
39	46
40	47
41	None
42	42
43	61
44	53
45	None
46	None
47	None
48	54
49	55
50	None
51	None
52	None
53	62
54	48
55	59
56	None
57	51
58	67
59	80
60	None
61	65
62	56
63	None
64	63
65	87
66	73
67	70
68	111
69	None
70	76
71	89
72	77
73	81
74	None
75	None
76	69
77	None
78	85
79	None
80	84
81	74
82	None
83	91
84	None
85	127
86	None
87	None
88	None
89	None
90	None
91	None
92	92
93	None
94	None
95	123
96	83
97	95
98	None
99	118
100	None
101	115
102	94
103	108
104	114
105	None
106	None
107	100
108	109
109	138
110	None
111	None
112	130
113	None
114	None
115	None
116	None
117	113
118	None
119	None
120	None
121	168
122	None
123	126
124	136
125	None
126	154
127	129
128	99
129	None
130	None
131	None
132	None
133	140
134	None
135	None
136	160
137	177
138	128
139	None
140	117
141	None
142	144
143	135
144	148
145	None
146	None
147	150
148	None
149	149
150	None
151	None
152	None
153	None
154	161
155	142
156	164
157	162
158	None
159	146
160	137
161	None
162	None
163	165
164	None
165	166
166	132
167	159
168	143
169	None
170	167
171	195
172	465
173	None
174	None
175	156
176	349
177	171
178	None
179	197
180	None
181	198
182	248
183	None
184	None
185	None
186	None
187	200
188	None
189	346
190	None
191	194
192	248
193	844
194	None
195	868
196	163
197	172
198	247
199	None
200	292
201	186
202	349
203	None
204	170
205	None
206	228
207	205
208	203
209	None
210	298
211	268
212	213
213	1384
214	None
215	None
216	None
217	257
218	212
219	None
220	223
221	307
222	None
223	None
224	None
225	206
226	255
227	525
228	None
229	214
230	240
231	None
232	None
233	None
234	226
235	199
236	510
237	322
238	258
239	313
240	None
241	246
242	243
243	None
244	234
245	None
246	465
247	381
248	270
249	None
250	207
251	None
252	277
253	209
254	None
255	452
256	None
257	276
258	None
259	478
260	191
261	377
262	297
263	None
264	None
265	242
266	1442
267	None
268	None
269	235
270	943
271	319
272	252
273	None
274	None
275	None
276	261
277	None
278	None
279	295
280	256
281	219
282	None
283	1447
284	None
285	352
286	None
287	None
288	None
289	None
290	None
291	None
292	301
293	263
294	363
295	346
296	326
297	341
298	180
299	271
300	375
301	468
302	None
303	None
304	None
305	975
306	None
307	736
308	None
309	None
310	336
311	269
312	403
313	296
314	364
315	None
316	None
317	None
318	None
319	339
320	1709
321	581
322	None
323	None
324	None
325	394
326	360
327	None
328	None
329	None
330	266
331	None
332	None
333	None
334	312
335	None
336	None
337	332
338	None
339	393
340	None
341	None
342	None
343	274
344	None
345	311
346	None
347	None
348	None
349	None
350	288
351	946
352	None
353	316
354	392
355	None
356	None
357	359
358	None
359	None
360	462
361	None
362	None
363	335
364	None
365	None
366	None
367	None
368	None
369	None
370	None
371	None
372	482
373	None
374	282
375	1036
376	None
377	281
378	915
379	None
380	None
381	None
382	None
383	289
384	368
385	342
386	None
387	267
388	1083
389	351
390	None
391	378
392	None
393	None
394	424
395	None
396	376
397	421
398	356
399	770
400	None
401	None
402	None
403	None
404	354
405	None
406	None
407	None
408	None
409	None
410	567
411	361
412	None
413	612
414	None
415	330
416	None
417	369
418	438
419	509
420	2149
421	906
422	None
423	None
424	None
425	None
426	None
427	466
428	None
429	436
430	None
431	384
432	None
433	None
434	None
435	None
436	None
437	None
438	None
439	None
440	456
441	484
442	None
443	409
444	None
445	433
446	None
447	365
448	None
449	386
450	None
451	395
452	374
453	1296
454	None
455	406
456	536
457	None
458	334
459	579
460	541
461	629
462	None
463	None
464	None
465	None
466	419
467	370
468	None
469	524
470	532
471	None
472	None
473	None
474	496
475	None
476	None
477	975
478	None
479	402
480	685
481	577
482	None
483	None
484	None
485	453
486	None
487	1846
488	469
489	379
490	391
491	None
492	None
493	429
494	746
495	None
496	819
497	480
498	None
499	None
500	641
501	None
502	637
503	432
504	None
505	355
506	None
507	455
508	None
509	None
510	None
511	475
512	459
513	398
514	1487
515	499
516	None
517	None
518	None
519	422
520	474
521	1846
522	None
523	None
524	None
525	597
526	1864
527	None
528	485
529	None
530	1514
531	None
532	None
533	None
534	1110
535	None
536	None
537	None
538	446
539	None
540	None
541	None
542	None
543	None
544	2188
545	None
546	None
547	None
548	1522
549	1514
550	562
551	540
552	None
553	483
554	517
555	1300
556	None
557	None
558	514
559	449
560	647
561	None
562	538
563	None
564	None
565	497
566	554
567	None
568	1595
569	None
570	None
571	454
572	404
573	472
574	None
575	None
576	None
577	431
578	558
579	None
580	1044
581	493
582	None
583	652
584	1273
585	1940
586	None
587	1828
588	None
589	None
590	530
591	None
592	None
593	None
594	None
595	513
596	559
597	665
598	None
599	606
600	596
601	None
602	None
603	None
604	1296
605	674
606	None
607	410
608	669
609	515
610	506
611	519
612	526
613	None
614	None
615	548
616	None
617	1442
618	None
619	None
620	None
621	None
622	None
623	None
624	None
625	2092
626	741
627	452
628	439
629	None
630	None
631	412
632	1929
633	None
634	627
635	None
636	611
637	511
638	None
639	None
640	None
641	542
642	None
643	721
644	671
645	None
646	750
647	None
648	None
649	None
650	None
651	619
652	1868
653	None
654	None
655	None
656	None
657	495
658	None
659	695
660	503
661	599
662	504
663	None
664	None
665	448
666	651
667	None
668	572
669	None
670	None
671	1447
672	None
673	None
674	None
675	None
676	None
677	None
678	None
679	None
680	608
681	None
682	701
683	None
684	982
685	None
686	None
687	544
688	None
689	None
690	None
691	None
692	None
693	427
694	467
695	None
696	None
697	549
698	551
699	None
700	None
701	None
702	1032
703	521
704	None
705	1829
706	924
707	None
708	683
709	529
710	None
711	None
712	712
713	None
714	833
715	None
716	None
717	None
718	625
719	501
720	628
721	None
722	508
723	594
724	None
725	598
726	None
727	481
728	None
729	None
730	None
731	545
732	444
733	None
734	None
735	None
736	None
737	None
738	655
739	691
740	None
741	614
742	531
743	617
744	1892
745	None
746	2041
747	985
748	None
749	591
750	None
751	539
752	653
753	693
754	556
755	None
756	None
757	None
758	692
759	None
760	1823
761	648
762	1514
763	1001
764	2192
765	None
766	None
767	658
768	None
769	None
770	913
771	952
772	719
773	657
774	None
775	None
776	590
777	None
778	675
779	None
780	784
781	714
782	None
783	1863
784	None
785	586
786	890
787	None
788	None
789	618
790	2285
791	None
792	None
793	None
794	984
795	656
796	None
797	793
798	None
799	1929
800	633
801	660
802	2227
803	860
804	None
805	None
806	None
807	None
808	909
809	742
810	None
811	1862
812	None
813	879
814	None
815	None
816	1823
817	None
818	None
819	1410
820	635
821	None
822	None
823	630
824	877
825	574
826	949
827	738
828	None
829	583
830	None
831	744
832	571
833	700
834	672
835	2126
836	668
837	717
838	2115
839	None
840	1556
841	None
842	None
843	None
844	None
845	876
846	767
847	None
848	780
849	1049
850	None
851	999
852	None
853	None
854	2515
855	554
856	620
857	None
858	843
859	930
860	2273
861	764
862	1946
863	2124
864	None
865	None
866	1157
867	1089
868	None
869	1984
870	None
871	603
872	None
873	None
874	None
875	659
876	None
877	1606
878	939
879	639
880	808
881	760
882	2116
883	None
884	None
885	None
886	1921
887	749
888	None
889	None
890	None
891	None
892	None
893	662
894	721
895	722
896	2297
897	753
898	1044
899	None
900	None
901	604
902	795
903	998
904	747
905	613
906	None
907	None
908	782
909	826
910	None
911	None
912	None
913	None
914	None
915	None
916	775
917	2637
918	None
919	761
920	None
921	None
922	663
923	1042
924	1793
925	None
926	None
927	None
928	1974
929	None
930	2363
931	814
932	709
933	None
934	None
935	None
936	None
937	None
938	2403
939	None
940	None
941	None
942	None
943	None
944	None
945	None
946	None
947	None
948	None
949	None
950	792
951	2173
952	None
953	None
954	None
955	None
956	None
957	None
958	1364
959	None
960	790
961	1257
962	1091
963	1833
964	2260
965	None
966	745
967	1054
968	858
969	None
970	None
971	2478
972	1327
973	1033
974	804
975	812
976	973
977	2532
978	829
979	None
980	823
981	1006
982	None
983	None
984	None
985	1018
986	None
987	None
988	1536
989	704
990	None
991	1228
992	None
993	None
994	None
995	None
996	946
997	None
998	None
999	None
1000	1075
1001	1276
1002	1005
1003	None
1004	1493
1005	2577
1006	None
1007	None
1008	None
1009	None
1010	None
1011	815
1012	None
1013	None
1014	1659
1015	None
1016	None
1017	846
1018	930
1019	1601
1020	None
1021	None
1022	781
1023	1026
1024	None
