2331 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_vanilla', '64', '.5', 'match_LCDM_vanilla_SymD_vanilla']
LCDM_vanilla	SymD_vanilla
0	0
1	1
2	2
3	4
4	3
5	6
6	7
7	None
8	8
9	9
10	None
11	13
12	None
13	12
14	None
15	14
16	23
17	15
18	10
19	None
20	25
21	None
22	24
23	26
24	30
25	19
26	39
27	22
28	None
29	31
30	37
31	29
32	None
33	34
34	50
35	None
36	None
37	None
38	None
39	46
40	45
41	None
42	36
43	47
44	49
45	38
46	None
47	None
48	52
49	55
50	None
51	128
52	None
53	57
54	43
55	54
56	None
57	51
58	60
59	66
60	None
61	53
62	48
63	None
64	76
65	71
66	62
67	72
68	99
69	None
70	64
71	None
72	86
73	82
74	None
75	None
76	65
77	None
78	83
79	67
80	84
81	70
82	None
83	95
84	None
85	115
86	None
87	None
88	None
89	None
90	None
91	None
92	85
93	None
94	77
95	119
96	79
97	92
98	None
99	97
100	None
101	106
102	91
103	87
104	113
105	None
106	None
107	101
108	107
109	242
110	None
111	None
112	127
113	None
114	None
115	None
116	None
117	108
118	None
119	None
120	None
121	264
122	None
123	126
124	112
125	None
126	139
127	122
128	111
129	93
130	None
131	104
132	None
133	140
134	None
135	None
136	151
137	161
138	117
139	None
140	116
141	None
142	150
143	None
144	153
145	None
146	None
147	154
148	None
149	142
150	None
151	None
152	None
153	None
154	156
155	136
156	157
157	165
158	None
159	143
160	132
161	None
162	None
163	149
164	None
165	171
166	121
167	158
168	144
169	None
170	164
171	162
172	137
173	None
174	135
175	152
176	None
177	170
178	None
179	175
180	None
181	195
182	246
183	None
184	None
185	None
186	None
187	200
188	None
189	249
190	None
191	181
192	246
193	828
194	None
195	247
196	147
197	172
198	214
199	None
200	263
201	188
202	522
203	None
204	163
205	None
206	231
207	202
208	226
209	None
210	297
211	307
212	198
213	1140
214	None
215	177
216	196
217	230
218	220
219	None
220	237
221	322
222	None
223	None
224	None
225	189
226	284
227	558
228	None
229	None
230	217
231	None
232	None
233	None
234	262
235	234
236	553
237	337
238	267
239	273
240	None
241	241
242	239
243	None
244	254
245	None
246	755
247	435
248	250
249	None
250	212
251	None
252	278
253	218
254	1217
255	701
256	353
257	269
258	None
259	386
260	261
261	348
262	280
263	207
264	None
265	229
266	None
267	None
268	None
269	197
270	None
271	292
272	252
273	None
274	None
275	None
276	None
277	None
278	None
279	276
280	258
281	215
282	None
283	1354
284	548
285	360
286	None
287	None
288	None
289	None
290	None
291	None
292	187
293	275
294	327
295	249
296	511
297	315
298	219
299	257
300	441
301	None
302	None
303	None
304	None
305	None
306	None
307	1138
308	None
309	None
310	328
311	243
312	409
313	330
314	350
315	299
316	None
317	None
318	None
319	311
320	None
321	715
322	None
323	None
324	None
325	413
326	375
327	None
328	None
329	1064
330	303
331	None
332	None
333	None
334	281
335	None
336	None
337	461
338	None
339	None
340	None
341	None
342	None
343	304
344	None
345	323
346	None
347	None
348	None
349	None
350	286
351	None
352	None
353	282
354	514
355	None
356	None
357	1146
358	None
359	None
360	381
361	None
362	None
363	279
364	None
365	None
366	None
367	287
368	None
369	None
370	None
371	None
372	1526
373	None
374	342
375	None
376	None
377	285
378	964
379	None
380	None
381	None
382	None
383	306
384	380
385	487
386	None
387	277
388	1431
389	438
390	None
391	382
392	None
393	None
394	499
395	None
396	394
397	373
398	316
399	808
400	256
401	None
402	300
403	None
404	320
405	309
406	1543
407	None
408	None
409	None
410	504
411	359
412	None
413	492
414	None
415	289
416	None
417	318
418	362
419	482
420	1899
421	1622
422	None
423	None
424	None
425	None
426	None
427	425
428	None
429	399
430	None
431	356
432	None
433	556
434	None
435	526
436	None
437	None
438	None
439	530
440	443
441	444
442	None
443	434
444	414
445	None
446	None
447	319
448	None
449	364
450	None
451	331
452	298
453	1048
454	None
455	423
456	509
457	None
458	334
459	554
460	561
461	654
462	None
463	None
464	None
465	None
466	436
467	415
468	None
469	452
470	506
471	1692
472	None
473	None
474	523
475	None
476	None
477	1344
478	None
479	347
480	795
481	562
482	None
483	None
484	None
485	371
486	None
487	1479
488	473
489	355
490	410
491	None
492	None
493	478
494	702
495	None
496	875
497	419
498	369
499	None
500	595
501	None
502	720
503	439
504	None
505	341
506	None
507	424
508	None
509	406
510	None
511	403
512	468
513	374
514	None
515	465
516	None
517	None
518	None
519	587
520	420
521	430
522	None
523	None
524	None
525	535
526	1776
527	None
528	446
529	None
530	1754
531	None
532	None
533	None
534	1531
535	None
536	None
537	None
538	400
539	None
540	432
541	None
542	None
543	None
544	2044
545	None
546	None
547	None
548	1282
549	1754
550	486
551	491
552	None
553	427
554	447
555	1434
556	None
557	None
558	411
559	387
560	763
561	None
562	606
563	None
564	None
565	602
566	647
567	None
568	1494
569	533
570	None
571	388
572	389
573	552
574	None
575	None
576	1508
577	None
578	565
579	None
580	1077
581	601
582	None
583	591
584	1348
585	1847
586	None
587	1583
588	None
589	None
590	479
591	None
592	None
593	1541
594	None
595	450
596	None
597	695
598	None
599	None
600	563
601	None
602	None
603	1333
604	1048
605	555
606	None
607	490
608	680
609	501
610	568
611	573
612	529
613	1899
614	None
615	551
616	None
617	1778
618	None
619	None
620	None
621	None
622	None
623	None
624	None
625	None
626	534
627	701
628	498
629	None
630	None
631	494
632	1815
633	None
634	517
635	None
636	686
637	621
638	None
639	None
640	None
641	543
642	None
643	593
644	847
645	584
646	691
647	None
648	None
649	None
650	None
651	782
652	1857
653	None
654	None
655	None
656	None
657	642
658	None
659	589
660	429
661	507
662	519
663	None
664	None
665	515
666	459
667	None
668	617
669	None
670	None
671	1354
672	None
673	None
674	None
675	None
676	None
677	None
678	None
679	1142
680	638
681	None
682	604
683	None
684	942
685	None
686	None
687	597
688	566
689	None
690	None
691	603
692	None
693	1299
694	480
695	None
696	None
697	546
698	469
699	None
700	None
701	586
702	None
703	600
704	None
705	1618
706	869
707	None
708	567
709	677
710	None
711	None
712	532
713	None
714	1054
715	None
716	None
717	None
718	536
719	442
720	605
721	None
722	497
723	454
724	None
725	557
726	None
727	527
728	None
729	None
730	None
731	560
732	451
733	None
734	None
735	None
736	None
737	None
738	578
739	626
740	None
741	625
742	None
743	550
744	1695
745	None
746	1910
747	1004
748	None
749	633
750	None
751	542
752	667
753	631
754	520
755	768
756	None
757	871
758	615
759	None
760	1650
761	627
762	1754
763	863
764	None
765	None
766	None
767	639
768	None
769	None
770	1038
771	947
772	966
773	None
774	None
775	None
776	620
777	524
778	None
779	None
780	922
781	699
782	None
783	1924
784	None
785	457
786	1105
787	1878
788	None
789	614
790	2088
791	None
792	None
793	None
794	974
795	583
796	None
797	1034
798	None
799	1815
800	None
801	650
802	2189
803	742
804	666
805	None
806	None
807	None
808	973
809	706
810	None
811	1740
812	None
813	897
814	None
815	None
816	1650
817	None
818	None
819	1903
820	592
821	None
822	None
823	619
824	747
825	537
826	804
827	609
828	2078
829	607
830	None
831	711
832	629
833	662
834	682
835	2253
836	655
837	979
838	2127
839	None
840	1557
841	2291
842	None
843	None
844	None
845	1152
846	770
847	None
848	930
849	791
850	None
851	653
852	None
853	None
854	2363
855	647
856	743
857	None
858	628
859	1086
860	2044
861	636
862	1794
863	1979
864	None
865	None
866	1037
867	1794
868	None
869	1892
870	None
871	1065
872	773
873	None
874	689
875	752
876	None
877	None
878	890
879	732
880	1049
881	807
882	2125
883	None
884	None
885	None
886	None
887	718
888	None
889	None
890	None
891	None
892	None
893	902
894	593
895	651
896	2383
897	679
898	1077
899	None
900	None
901	611
902	576
903	975
904	623
905	663
906	None
907	None
908	735
909	911
910	None
911	910
912	None
913	None
914	None
915	None
916	708
917	None
918	None
919	784
920	None
921	None
922	574
923	1089
924	1781
925	None
926	None
927	None
928	1912
929	None
930	2252
931	772
932	661
933	1431
934	None
935	None
936	None
937	None
938	2348
939	None
940	645
941	None
942	None
943	None
944	None
945	2147
946	None
947	None
948	None
949	905
950	725
951	1959
952	None
953	None
954	None
955	None
956	None
957	None
958	1529
959	None
960	731
961	1297
962	1000
963	1704
964	2182
965	None
966	697
967	1226
968	856
969	None
970	None
971	2374
972	1637
973	790
974	787
975	745
976	912
977	2471
978	None
979	None
980	988
981	813
982	None
983	None
984	None
985	1403
986	None
987	None
988	1571
989	733
990	None
991	1465
992	None
993	None
994	None
995	None
996	None
997	None
998	None
999	None
1000	1011
1001	1186
1002	946
1003	None
1004	None
1005	2456
1006	None
1007	None
1008	765
1009	None
1010	None
1011	683
1012	None
1013	None
1014	1736
1015	None
1016	None
1017	794
1018	1086
1019	1387
1020	None
1021	None
1022	724
